UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 141_N. 21,SABAH,P. 141,KINABATANGAN,N. 21,SEKONG,BN - UMNO,,13764,1548,57.79,7954,8,160,7786,UMNO,NAHALAN BIN DAMSAL,MALE,,4667,,PBS,PITTING MOHD ALI,MALE,,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 141_N. 22,SABAH,P. 141,KINABATANGAN,N. 22,SUKAU,BN - UMNO,,10187,912,61.36,6251,10,95,6146,UMNO,AKLEE BIN ABASS,MALE,,3504,,PBS,ZAKI @ ZAKARIA BIN GUSMIAH,MALE,,2592,,SETIA,ALI BIN AYAU,MALE,,50,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 141_N. 23,SABAH,P. 141,KINABATANGAN,N. 23,KUAMUT,PBS,,5452,735,72.41,3948,4,53,3891,UMNO,MOKTAR BIN RADIN,MALE,,1449,,PBS,JOSEPH SITIN BIN SAANG,MALE,,2184,,,,,,,,,,,,,,INDEPENDENT,ALI LATIP BIN TAHA,MALE,,258,LOST DEPOSIT,,,,,,,,,,,,
P. 142_N. 24,SABAH,P. 142,KENINGAU,N. 24,TAMBUNAN,PBS,,8153,5696,86.86,7082,35,44,7003,AKAR,MARTIN YONG,MALE,,569,LOST DEPOSIT,PBS,JOSEPH PAIRIN KITINGAN,MALE,,6265,,,,,,,,,,,,,,INDEPENDENT,JOUTI BIN AJUN @ JOSEPH,MALE,,169,LOST DEPOSIT,,,,,,,,,,,,
P. 142_N. 25,SABAH,P. 142,KENINGAU,N. 25,BINGKOR,PBS,,12061,4159,78.11,9421,6,70,9345,AKAR,INJON SEDOMON @ JOHN REYNOLD,MALE,,2249,,PBS,GAPARI @ GEOFFREY KATINGAN @ KITINGAN,MALE,,6408,,,,,,,,,,,,,,INDEPENDENT,AYUB BIN AMAN,MALE,,688,LOST DEPOSIT,,,,,,,,,,,,
P. 143_N. 26,SABAH,P. 143,PENAMPANG,N. 26,MOYOG,PBS,,14242,3255,85.35,12155,421,270,11464,AKAR,EDWIN RICHARD,MALE,,1445,,PBS,BERNARD GILUK DOMPOK,MALE,,6615,,SETIA,INUS MOLUKUN,MALE,,19,LOST DEPOSIT,,,,,,,INDEPENDENT,CLARENCE DICSENOL BONGKOS MALAKUN,MALE,,3360,,INDEPENDENT,LOH CHIEN CHENG,MALE,,25,LOST DEPOSIT,,,,,,
P. 143_N. 27,SABAH,P. 143,PENAMPANG,N. 27,INANAM,PBS,,15566,4079,76.85,11962,7,140,11815,SAPP,WONG KAU CHAI SINDINB @ PAUL WONG,MALE,,3828,,PBS,STEPHEN KINSON KUTAI @ JANI BILINGAN,MALE,,7907,,SETIA,SAMLIN BIN ADIM,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 144_N. 28,SABAH,P. 144,GAYA,N. 28,LIKAS,BN - SAPP,,19756,2180,71.02,14030,0,140,13890,SAPP,YONG TECK LEE,MALE,,8035,,PBS,YEE MOH CHAI,MALE,,5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 144_N. 29,SABAH,P. 144,GAYA,N. 29,API-API,PBS,,20016,4294,70.56,14124,46,108,13970,SAPP,TERENCE CHONG NYIM FATT,MALE,,4838,,PBS,DATUK CHAU TET ON,MALE,,9132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 145_N. 30,SABAH,P. 145,TANJONG ARU,N. 30,SEMBULAN,PBS,,13504,298,70.45,9514,27,114,9373,LDP,CHONG ENG LEONG @ CHING ENG LEONG,MALE,,4479,,PBS,CHOW CHIN THONG @ CHAU CHIN TANG,MALE,,4777,,SETIA,JOHN CHIN FOOK FAAT,MALE,,62,LOST DEPOSIT,,,,,,,INDEPENDENT,THIEN YUN FAH @ IBRAHIM TYAN,MALE,,55,LOST DEPOSIT,,,,,,,,,,,,
P. 145_N. 31,SABAH,P. 145,TANJONG ARU,N. 31,PETAGAS,BN - UMNO,,20350,1190,73.39,14934,236,298,14400,UMNO,YAHYAH @ YAHYA BIN HUSSIN @ AWANG HUSSIN,MALE,,7513,,PBS,JAMES JOHN @ JAMES LIGUNJANG,MALE,,6323,,,,,,,,,,,,,,INDEPENDENT,JAMES ANDREW VITALES,MALE,,564,LOST DEPOSIT,,,,,,,,,,,,
P. 146_N. 32,SABAH,P. 146,PAPAR,N. 32,KAWANG,BN - UMNO,,11750,64,81.37,9561,0,73,9488,UMNO,OSU HAJI SUKAN,MALE,,4699,,PBS,IRENE DAPHNE PRITCHARD @ ARIAH AHMAD,FEMALE,,4635,,,,,,,,,,,,,,INDEPENDENT,JOHN DAGUL,MALE,,32,LOST DEPOSIT,INDEPENDENT,CHIN CHUAN SIONG @ NORBERT CHIN,MALE,,110,LOST DEPOSIT,INDEPENDENT,DURIG BIN SUMPANG @ UWING,MALE,,12,LOST DEPOSIT
P. 146_N. 33,SABAH,P. 146,PAPAR,N. 33,BUANG SAYANG,BN - UMNO,,13802,1643,81.21,11208,18,72,11118,UMNO,ABDUL RAHIM ISMAIL,MALE,,6359,,PBS,CLADIUS SUNDANG @ CLAUDIUS S. ALEX,MALE,,4716,,SETIA,JUAILI AHMAD @ KADIR,MALE,,43,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 34,SABAH,P. 147,KIMANIS,N. 34,BONGAWAN,BN - UMNO,,11868,1902,79.63,9451,0,81,9370,UMNO,KARIM BIN BUJANG,MALE,,5498,,PBS,NARAWI BIN AHMAD @ SINAR,MALE,,3596,,,,,,,,,,,,,,INDEPENDENT,AJMAIN B. ABD. GHANI,MALE,,276,LOST DEPOSIT,,,,,,,,,,,,
P. 147_N. 35,SABAH,P. 147,KIMANIS,N. 35,KUALA PENYU,PBS,,10486,400,81.98,8596,0,85,8511,UMNO,MOHD ZAHARI BIN MOHD. ZININ,MALE,,4030,,PBS,WENCES ANGANG @ JAMES,MALE,,4430,,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN SALLEH,MALE,,51,LOST DEPOSIT,,,,,,,,,,,,
P. 148_N. 36,SABAH,P. 148,LIMBAWANG,N. 36,KLIAS,PBS,,12033,405,78.68,9468,0,111,9357,UMNO,ANIFAH BIN AMAN @ HANIFF AMMAN,MALE,,4476,,PBS,LAJIM BIN UKIN,MALE,,4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 37,SABAH,P. 148,LIMBAWANG,N. 37,LUMADAN,BN - UMNO,,9065,1768,81.24,7364,0,98,7266,UMNO,DAYANG MAHANI BINTI PG. AHMAD RAFFAE,FEMALE,,4517,,PBS,SADI BIN HAJI NASAH @ SADIH B. HJ. NASAH,MALE,,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
