UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA,BA CANDIDATE,BA CANDIDATE SEX,BA CANDIDATE AGE,BA VOTE,BA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 37,TERENGGANU,P. 37,MARANG,BN - UMNO,,64367,163,88.84,57186,331,866,55989,UMNO,ABDUL RAHMAN BIN BAKAR (DATUK HAJI ABDUL RAHMAN BAKAR),MALE,52,28076,,PAS,ABDUL HADI BIN AWANG (DATO' SERI TUAN GURU HAJI ABDUL HADI AWANG),MALE,57,27913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,BN - UMNO,,45258,7760,89.62,40559,56,633,39870,UMNO,T. PUTERA BIN T. AWANG (TENGKU PUTERA AWANG),MALE,,23815,,PAS,MUHYIDIN BIN ABDUL RASHID (HAJI MUHYIDIN ABDUL RASHID),MALE,40,16055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39,TERENGGANU,P. 39,DUNGUN,BN - UMNO,,55711,4896,90.12,50206,1598,708,47900,UMNO,ROSLI BIN MAT HASSAN (DATUK HAJI ROSLI MAT HASSAN),MALE,,26398,,PAS,MUSTAFA @ HASSAN BIN ALI (DATO' HAJI MUSTAFA ALI),MALE,59,21502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40,TERENGGANU,P. 40,KEMAMAN,BN - UMNO,,66416,15882,88.02,58461,273,1036,57152,UMNO,AHD. SHABERY BIN CHEEK (AHMAD SHABERY CHEEK),MALE,46,36517,,PKR,ABD RAHMAN BIN YUSOF (HAJI ABD RAHMAN YUSOF),MALE,47,20635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,BN - UMNO,,39622,18122,84.19,33356,0,672,32684,UMNO,ABDULLAH BIN HAJI AHMAD (DATO' SERI ABDULLAH BIN HAJI AHMAD BADAWI),MALE,65,25403,,PAS,ABD KHALID BIN RASID (USTAZ ABD KHALID BIN RASID),MALE,,7281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,BN - UMNO,,41615,10183,83.03,34551,92,620,33839,UMNO,MOHD SHARIFF BIN OMAR (DATO' SERI MOHD SHARIFF HJ OMAR),MALE,56,22011,,PAS,MUJAHID BIN YUSOF (USTAZ MUJAHID BIN YUSOF),MALE,40,11828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43,PULAU PINANG,P. 43,BAGAN,DAP,,57322,3622,75.96,43542,13,961,42568,MCA,LIM CHIEN AUN (LIM CHIEN AUN),MALE,,19473,,,,,,,,DAP,LIM HOCK SENG (LIM HOCK SENG),MALE,55,23095,,,,,,,,,,,,,,,,,,,,,,,,,
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,BA - PKR,,54041,590,80.93,43734,185,665,42884,UMNO,PIRDAUS BIN ISMAIL (DATO' PIRDAUS BIN ISMAIL),MALE,39,21147,,PKR,WAN AZIZAH BINTI WAN ISMAIL (DATIN SERI DR WAN AZIZAH ISMAIL),FEMALE,52,21737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,DAP,,58736,8564,77.37,45442,428,1148,43866,MCA,MA KOK BEN (MA KOK BEN),MALE,,17651,,,,,,,,DAP,CHONG ENG (CHONG ENG),FEMALE,47,26215,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46,PULAU PINANG,P. 46,BATU KAWAN,BN - GERAKAN,,43055,8998,75.62,32559,0,811,31748,GERAKAN,HUAN CHENG GUAN (HUAN CHENG GUAN),MALE,43,17097,,PKR,LAW CHOO KIANG (LAW CHOO KIANG),MALE,34,8099,,DAP,TANASEKHARAN A/L AUTHERAPADY (A. TANASEKHARAN),MALE,48,6552,,,,,,,,,,,,,,,,,,,,,,,,,
