UNIQUE CODE,STATE,FEDERAL LEGISLATIVE CONSTITUENCY CODE,FEDERAL LEGISLATIVE COUNCIL CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
NO. 34,JOHORE,NO. 34,BATU PAHAT,ALLIANCE - MIC,,27323,16251,80.44,21978,293,21685,MIC,S. CHELVASINGAM MACINTYRE,MALE,,18968,,,,,,,,NEGARA,DATO HAJI SYED ABDUL KADIR BIN MOHAMED,MALE,,2717,,,,,,,,,,,,,,,,,,,
NO. 35,JOHORE,NO. 35,MUAR SELATAN,ALLIANCE - MCA,,34321,19472,81.91,28113,425,27688,MCA,TAN SUAN KOK,MALE,,23580,,,,,,,,NEGARA,DATO' MAHMUD BIN MD. SHAH,MALE,,4108,,,,,,,,,,,,,,,,,,,
NO. 36,JOHORE,NO. 36,MUAR UTARA,ALLIANCE - UMNO,,29272,16179,82.09,24029,604,23425,UMNO,HAJI HASSAN BIN HAJI YUNOS,MALE,,19802,,,,,,,,NEGARA,HAJI MOHAMED NOR BIN A. HAMID,MALE,,3623,,,,,,,,,,,,,,,,,,,
NO. 37,JOHORE,NO. 37,SEGAMAT,ALLIANCE - UMNO,,17482,8625,79.62,13919,400,13519,UMNO,SARDON BIN JUBIR,MALE,38,11072,,,,,,,,NEGARA,RAZALI BIN ABDUL MANAP,MALE,,2447,,,,,,,,,,,,,,,,,,,
NO. 38,KEDAH,NO. 38,ALOR STAR,ALLIANCE - MCA,,35261,26113,85.54,30162,481,29681,MCA,LEE THEAN HIN,MALE,,27897,,,,,,,,NEGARA,HAJI SALIM BIN HAJI MOHD. REJAB,MALE,,1784,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 39,KEDAH,NO. 39,KOTA STAR,ALLIANCE - UMNO,,34043,25189,88.56,30149,624,29525,UMNO,TUNKU KASSIM IBNI ALMARHUM SULTAN ABDUL HAMID,MALE,61,27357,,,,,,,,NEGARA,HAJI REJAB BIN HAJI DARUS,MALE,,2168,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 40,KEDAH,NO. 40,KEDAH UTARA,ALLIANCE - UMNO,,33966,23966,85.80,29144,713,28431,UMNO,SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,30,25544,,,,,,,,NEGARA,HAJI LAIDIN BIN HAJI ABDUL MANAN,MALE,,1309,LOST DEPOSIT,,,,,,,INDEPENDENT,HAJI ABDULLAH BIN HAJI ABBAS,MALE,,1578,LOST DEPOSIT,,,,,,
NO. 41,KEDAH,NO. 41,KEDAH TENGAH,ALLIANCE - UMNO,,37176,29646,88.90,33050,542,32508,UMNO,MD. KHIR BIN JOHARI,MALE,34,31077,,,,,,,,NEGARA,PUTEH BIN NAPA,MALE,,1431,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 42,KEDAH,NO. 42,SUNGEI MUDA,ALLIANCE - UMNO,,27426,20987,87.23,23924,459,23465,UMNO,TUNKU ABDUL RAHMAN,MALE,52,22226,,,,,,,,,,,,,,,,,,,,INDEPENDENT,SYED JAN ALJEFFRI,MALE,,1239,LOST DEPOSIT,,,,,,
NO. 43,KEDAH,NO. 43,KEDAH SELATAN,ALLIANCE - MCA,,25917,19487,88.73,22995,382,22613,MCA,LIM TENG KWANG,MALE,,21050,,PMIP,M. SALEH BIN HAJI SHAFIE,MALE,,1563,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
NO. 44,KELANTAN,NO. 44,KELANTAN SELATAN,ALLIANCE - UMNO,,39084,14571,86.11,33657,1136,32521,UMNO,ABDUL KHALID BIN AWANG OSMAN,MALE,30,21746,,PMIP,HAJI MOHAMED NOOR BIN HAJI YUSOFF,MALE,40,3600,LOST DEPOSIT,NEGARA,DATO' NIK AHMED KAMIL BIN MAHMOOD,MALE,45,7175,,,,,,,,,,,,,,,,,,,
NO. 45,KELANTAN,NO. 45,KELANTAN TIMOR,ALLIANCE - UMNO,,46221,26935,84.72,39159,1011,38148,UMNO,NIK HASSAN BIN HAJI YAHYA,MALE,29,30954,,PMIP,MOHD. ASRI BIN HAJI MUDA,MALE,32,2292,LOST DEPOSIT,NEGARA,DATO' NIK AHMED BIN HAJI NIK MAHMOOD,MALE,,4019,LOST DEPOSIT,,,,,,,INDEPENDENT,MOHAMED BIN IBRAHIM,MALE,35,883,LOST DEPOSIT,,,,,,
NO. 46,KELANTAN,NO. 46,PASIR MAS,ALLIANCE - UMNO,,34779,13456,84.67,29449,979,28470,UMNO,TENGKU AHMAD BIN TENGKU ABDUL GHAFFAR,MALE,47,20963,,PMIP,HAJI MOKHTAR BIN HAJI AHMED,MALE,45,7507,,,,,,,,,,,,,,,,,,,,,,,,,
NO. 47,KELANTAN,NO. 47,KELANTAN UTARA,ALLIANCE - UMNO,,42510,22133,84.83,36060,1337,34723,UMNO,TENGKU INDRA PETRA BIN  SULTAN IBRAHIM,MALE,40,28428,,,,,,,,NEGARA,DATO' NIK HUSSEIN BIN NIK ZAINAL,MALE,47,6295,,,,,,,,,,,,,,,,,,,
NO. 48,KELANTAN,NO. 48,KELANTAN TENGAH,ALLIANCE - UMNO,,43149,25452,79.42,34270,1003,33267,UMNO,ABDUL HAMID BIN MAHMUD,MALE,45,28422,,,,,,,,NEGARA,TENGKU ANNUAR ZAINAL BIN TENGKU ZAINAL ABIDIN,MALE,29,2970,LOST DEPOSIT,,,,,,,INDEPENDENT,DATO NIK MOHAMED BIN ABDUL RAHMAN,MALE,42,1154,LOST DEPOSIT,INDEPENDENT,IDRIS BIN HAJI MOHAMED,MALE,40,721,LOST DEPOSIT
NO. 49,TRENGGANU,NO. 49,TRENGGANU UTARA,ALLIANCE - UMNO,,32482,19175,80.56,26166,1259,24907,UMNO,IBRAHIM FIKRI BIN MOHAMED,MALE,,22041,,,,,,,,NEGARA,MOHD. SALLEH BIN AHMAD,MALE,,2866,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
NO. 50,TRENGGANU,NO. 50,TRENGGANU TENGAH,ALLIANCE - UMNO,,33719,14292,73.70,24851,1067,23784,UMNO,ENGKU MUHSEIN BIN ABDUL KADIR,MALE,,19038,,,,,,,,NEGARA,SULAIMAN BIN ALI,MALE,,4746,,,,,,,,,,,,,,,,,,,
NO. 51,TRENGGANU,NO. 51,TRENGGANU SELATAN,ALLIANCE - UMNO,,23831,13717,82.51,19663,690,18973,UMNO,WAN YAHYA BIN HAJI WAN MOHD.,MALE,,16345,,,,,,,,NEGARA,IBRAHIM BIN MATNOH,MALE,,2628,,,,,,,,,,,,,,,,,,,
NO. 52,PERLIS,NO. 52,PERLIS,ALLIANCE - UMNO,,30936,8955,87.84,27173,590,26583,UMNO,SHEIKH AHMAD BIN MOHD. HASHIM,MALE,60,17769,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MATT BIN HAJI KASSIM,MALE,58,8814,,,,,,,
