UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),URBAN-RURAL CLASSIFICATION (2013)
P.204,SARAWAK,P.204,BETONG,26322,34.95,7.09,0.07,0.03,0.13,57.61,0.13,99.6,0,0.4,0,
P.205,SARAWAK,P.205,SARATOK,27562,35.13,6.88,0.04,0.01,0.06,57.79,0.09,99.61,0,0.39,0,
P.206,SARAWAK,P.206,TANJONG MANIS,19215,23.82,5.39,0.03,0.02,0.24,70.1,0.41,99.95,0.01,0.04,0,
P.207,SARAWAK,P.207,IGAN,17771,6.36,3.79,0.03,0.02,0.23,89.4,0.16,99.6,0.01,0.39,0,
P.208,SARAWAK,P.208,SARIKEI,36550,3.88,65.66,0.04,0,0.12,30.13,0.18,99.14,0,0.86,0,
P.209,SARAWAK,P.209,JULAU,22522,0.67,4.84,0.04,0,0.08,94.26,0.1,99.73,0,0.26,0,
P.210,SARAWAK,P.210,KANOWIT,19433,1.36,12.04,0.03,0.03,0.09,86.34,0.11,99.68,0.01,0.32,0,
P.211,SARAWAK,P.211,LANANG,57143,2.44,72.11,0.05,0.01,0.15,25.15,0.09,98.94,0.01,1.06,0,
P.212,SARAWAK,P.212,SIBU,64601,11.17,64.68,0.1,0.03,0.43,23.43,0.17,95.21,0.01,0.9,3.88,
P.213,SARAWAK,P.213,MUKAH,26477,3.12,9.8,0.05,0.02,0.35,86.38,0.28,99.45,0,0.54,0,
P.214,SARAWAK,P.214,SELANGAU,25461,1.12,3.5,0.01,0.01,0.11,94.94,0.31,99.8,0,0.2,0,
P.215,SARAWAK,P.215,KAPIT,26195,2.63,10.27,0.06,0.03,0.14,86.76,0.12,99.53,0,0.47,0,
P.216,SARAWAK,P.216,HULU RAJANG,21686,0.92,1.31,0.03,0.29,0.22,97,0.23,99.75,0,0.25,0,
P.217,SARAWAK,P.217,BINTULU,59893,9.2,27.89,0.09,0.01,0.28,62.38,0.16,99.51,0.01,0.48,0,
P.218,SARAWAK,P.218,SIBUTI,28351,21.89,22.31,0.08,0.01,0.26,55.08,0.36,99.8,0.01,0.19,0,
P.219,SARAWAK,P.219,MIRI,71170,16,57.4,0.26,0.01,0.32,25.67,0.33,97.74,0.01,1.23,1.01,
P.220,SARAWAK,P.220,BARAM,29385,5.02,9,0.04,0.24,0.26,85.21,0.23,99.7,0,0.3,0,
P.221,SARAWAK,P.221,LIMBANG ,24278,27.17,19.33,0.08,0.06,8.19,44.92,0.26,98.97,0.01,1.02,0,
P.222,SARAWAK,P.222,LAWAS,18845,35.01,9.56,0.09,0.12,1.33,53.49,0.4,99.49,0.01,0.51,0,
