UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.034,TERENGGANU,P.034,SETIU,BN - UMNO,,67280,7943,88.1,59262,124,685,58453,BN - UMNO,CHE MOHAMAD ZULKIFLY BIN JUSOH,,,33198,PR-PAS,OMAR BIN SIDEK,,,25255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.035,TERENGGANU,P.035,KUALA NERUS,PR-PAS,,76238,610,89.2,68036,152,772,67112,BN - UMNO,MOHD NASIR B. IBRAHIM @ IBRAHIM FIKRI,,,33251,PR-PAS,MOHD KHAIRUDDIN BIN AMAN RAZALI,,,33861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.036,TERENGGANU,P.036,KUALA TERENGGANU,PR-PAS,,94406,10785,87,82122,224,845,81053,BN - UMNO,MOHD ZUBIR BIN EMBONG,,,35043,PR-PAS,RAJA KAMARUL BAHRIN SHAH,,,45828,,,,,,,,,,,,,,,,,INDEPENDENT,MAIMUN BINTI YUSUF,,,182,,,,,,,,,,,,,,,
P.037,TERENGGANU,P.037,MARANG,PR-PAS,,90795,5124,90.1,81829,180,805,80844,BN - UMNO,YAHYA BIN KHATIB MOHAMAD,,,37860,PR-PAS,ABDUL HADI BIN AWANG,,,42984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.038,TERENGGANU,P.038,HULU TERENGGANU,BN - UMNO,,63543,8213,89.1,56634,144,823,55667,BN - UMNO,JAILANI BIN JOHARI,,,31940,PR-PAS,KAMARUZAMAN BIN ABDULLAH,,,23727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.039,TERENGGANU,P.039,DUNGUN,PR-PAS,,78174,3942,87.2,68204,157,909,67138,BN - UMNO,ROSLI BIN MAT HASSAN,,,31406,PR-PAS,WAN HASSAN BIN MOHD RAMLI,,,35348,,,,,,,,,,,,,,,,,INDEPENDENT,MAZLAN BIN HARUN,,,384,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,BN - UMNO,,91942,12306,87.2,80168,197,1227,78744,BN - UMNO,AHMAD SHABERY BIN CHEEK,,,45525,PR-PKR,KAMARUDIN BIN CHIK,,,33219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,BN - UMNO,,51635,4176,90.5,46740,75,585,46080,BN - UMNO,REEZAL MERICAN BIN NAINA MERICAN,,,25128,PR-PAS,AFNAN HAMIMI BIN TAIB AZAMUDDEN,,,20952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,BN - UMNO,,54042,3042,89,48121,112,675,47334,BN - UMNO,SHABUDIN BIN YAHAYA,,,24393,PR-PAS,ABDUL RAHMAN BIN B MAIDIN,,,21351,,,,,,,,,,,,,,,,,INDEPENDENT,MOHD SHARIFF BIN OMAR,,,1590,,,,,,,,,,,,,,,
P.043,PULAU PINANG,P.043,BAGAN,PR-DAP,,68503,34159,87.3,59792,57,634,59101,BN - MCA,CHUA TEIK SIANG,,,12307,PR-DAP,LIM GUAN ENG,,,46466,PCM,LIM KIM CHU,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
