UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (1) CANDIDATE LOST DEPOSIT,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,PR (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.039,TERENGGANU,P.039,DUNGUN,PR - PAS,,78174,3942,87.25,68204,157,909,67138,UMNO,DATUK ROSLI MAT HASSAN,MALE,,31406,,,,,,,,PAS,USTAZ WAN HASSAN,MALE,,35348,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MAZLAN BIN HARUN,MALE,,384,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.040,TERENGGANU,P.040,KEMAMAN,BN - UMNO,,91942,12306,87.19,80168,197,1227,78744,UMNO,AHMAD SHABERY CHEEK,MALE,,45525,,PKR,KAMARUDIN CHIK,MALE,,33219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.041,PULAU PINANG,P.041,KEPALA BATAS,BN - UMNO,,51635,4176,90.52,46740,75,585,46080,UMNO,DATO’ SERI REEZAL MERICAN BIN NAINA MERICAN,MALE,,25128,,,,,,,,PAS,USTAZ AFNAN HAMIMI BIN DATO’ TAIB AZAMUDDEN,MALE,,20952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.042,PULAU PINANG,P.042,TASEK GELUGOR,BN - UMNO,,54042,3042,89.04,48121,112,675,47334,UMNO,HJ SHABUDIN BIN YAHAYA,MALE,,24393,,,,,,,,PAS,DATO’ SERI ABDUL RAHMAN MAIDIN,MALE,,21351,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO SERI MOHD SHARIFF BIN OMAR,MALE,,1590,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.043,PULAU PINANG,P.043,BAGAN,PR - DAP,,68503,34159,87.28,59792,57,634,59101,MCA,DAVID CHUA TEIK SIANG,MALE,,12307,,DAP,LIM GUAN ENG,MALE,,46466,,,,,,,,PCM,LIM KIM CHU,MALE,,328,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.044,PULAU PINANG,P.044,PERMATANG PAUH,PR - PKR,,71699,11721,88.53,63475,143,672,62660,UMNO,DR HAJI MAZLAN ISMAIL,MALE,,25369,,PKR,DATO’ SERI ANWAR IBRAHIM,MALE,,37090,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,DR. ZAWAWI,MALE,,201,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,PR - DAP,,78996,43063,88.09,69588,185,712,68691,MCA,GUI GUAT LYE,MALE,,12814,,DAP,SIM CHEE KEONG,MALE,,55877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,PULAU PINANG,P.046,BATU KAWAN,PR - DAP,,57500,25962,87.32,50208,69,723,49416,GERAKAN,N. GOBALAKRISHNAN,MALE,,10674,,DAP,KASTHURIRAANI A/P PATTO,FEMALE,,36636,,,,,,,,PCM,HUAN CHENG GUAN,MALE,,1801,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - HIBISCUS,MOHAN APPAROO,MALE,,305,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,PR - PKR,,59345,8598,88.63,52599,61,833,51705,UMNO,DATO’ ZAINAL ABIDIN OSMAN,MALE,,21405,,PKR,DATO’ MANSOR OTHMAN,MALE,,30003,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,TENG KOK PHENG,MALE,,297,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,PR - DAP,,71085,32778,83.17,59118,99,615,58404,GERAKAN,TEH LEONG MENG,MALE,,12813,,DAP,ZAIRIL KHIR JOHARI,MALE,,45591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
