UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE  LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
P. 144_N. 11,JOHOR,P. 144,LEDANG,N. 11,SEROM,,3,,40172,,,,,,,UMNO,IQA RAHIM,FEMALE,32,,,AMANAH,AHMAD NAZARI,MALE,67,,,PPBM,MAHFIDZ BIN OMAR,MALE,61,,,,,,,,,,,,,,,,,,,,
P. 145_N. 12,JOHOR,P. 145,BAKRI,N. 12,BENTAYAN,,2,,34205,,,,,,,MCA,CHUA LEE HUAT,MALE,54,,,DAP,NG YAK HOWE,MALE,52,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 145_N. 13,JOHOR,P. 145,BAKRI,N. 13,SIMPANG JERAM,,4,,41975,,,,,,,UMNO,AZMAN BIN ISMAIL,MALE,50,,,AMANAH,IR. TS. HAJI NAZRI,MALE,59,,,PAS,AWANG,MALE,55,,,MUDA,AINIE HAZIQAH SHAFII,FEMALE,35,,,,,,,,,,,,,,
P. 145_N. 14,JOHOR,P. 145,BAKRI,N. 14,BUKIT NANING,,5,,23002,,,,,,,UMNO,MOHD GHAZALI BIN SABARI,MALE,41,,,PKR,MD YSAHRUDIN,MALE,47,,,PPBM,MOHD RADZI BIN AMIN,MALE,48,,,,,,,,,BERSAMA,ISKANDAR MD ALIAS,MALE,60,,,INDEPENDENT - ELEPHANT,JEGHANAATHAN,MALE,57,,
P. 146_N. 15,JOHOR,P. 146,MUAR,N. 15,MAHARANI,,4,,40040,,,,,,,UMNO,DATO' ASHARI,MALE,56,,,AMANAH,TAQIUDDIN CHEMAN,MALE,37,,,PAS,ANUAR HAYAN,MALE,60,,,MUDA,AMIR JACK,MALE,30,,,,,,,,,,,,,,
P. 146_N. 16,JOHOR,P. 146,MUAR,N. 16,SUNGAI BALANG,,3,,31039,,,,,,,UMNO,CIKGU SELAMAT TAKIM,MALE,61,,,PKR,SORAYA BADARUDDIN,FEMALE,31,,,PAS,AMIN SAILAN,MALE,36,,,,,,,,,,,,,,,,,,,,
P. 147_N. 17,JOHOR,P. 147,PARIT SULONG,N. 17,SEMERAH,,3,,47431,,,,,,,UMNO,FARED KHALID,MALE,47,,,PKR,MOHD KHUZZAN ABU BAKAR,MALE,57,,,PAS,HALIM KEPOL,MALE,61,,,,,,,,,,,,,,,,,,,,
P. 147_N. 18,JOHOR,P. 147,PARIT SULONG,N. 18,SRI MEDAN,,3,,33875,,,,,,,UMNO,ZULKURNAIN KAMISAN,MALE,52,,,PKR,CIKGU HISHAMUDDIN BIN ISHAK,MALE,65,,,PAS,USTAZ ROSDI,MALE,51,,,,,,,,,,,,,,,,,,,,
P. 148_N. 19,JOHOR,P. 148,AYER HITAM,N. 19,YONG PENG,,2,,34023,,,,,,,MCA,AH SOON,MALE,42,,,DAP,YONG HUI YI,FEMALE,30,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 20,JOHOR,P. 148,AYER HITAM,N. 20,SEMARANG,,3,,28753,,,,,,,UMNO,DATUK SAMSOLBARI,MALE,65,,,AMANAH,RAMLI ABD HAMID,MALE,64,,,PPBM,SYAFIQ AZIZ,MALE,37,,,,,,,,,,,,,,,,,,,,
P. 149_N. 21,JOHOR,P. 149,SRI GADING,N. 21,PARIT YAANI,,2,,44741,,,,,,,UMNO,NAJIB SAMURI,MALE,44,,,AMANAH,MD. EZAM TASLIM,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 22,JOHOR,P. 149,SRI GADING,N. 22,PARIT RAJA,,3,,38159,,,,,,,UMNO,RASHIDAH RAMLI,FEMALE,47,,,DAP,SHAZWAN ZDANIAL,MALE,42,,,PPBM,DR. MALIKI,MALE,52,,,,,,,,,,,,,,,,,,,,
P. 150_N. 23,JOHOR,P. 150,BATU PAHAT,N. 23,PENGGARAM,,2,,70294,,,,,,,MCA,CL BOO,MALE,65,,,DAP,FELICIA POH RUI LING,FEMALE,28,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 150_N. 24,JOHOR,P. 150,BATU PAHAT,N. 24,SENGGARANG,,3,,38576,,,,,,,UMNO,YUSLA ISMAIL,MALE,58,,,PKR,ONN ABU BAKAR,MALE,62,,,PPBM,DATO' RASHID HASNON,MALE,66,,,,,,,,,,,,,,,,,,,,
P. 150_N. 25,JOHOR,P. 150,BATU PAHAT,N. 25,RENGIT,,3,,27608,,,,,,,UMNO,ZAIDI BIN JAPAR,MALE,57,,,AMANAH,HJ MOHAMMAD YAZID,MALE,54,,,PPBM,SYED MOHAMAD,MALE,55,,,,,,,,,,,,,,,,,,,,
P. 151_N. 26,JOHOR,P. 151,SIMPANG RENGGAM,N. 26,MACHAP,,2,,35206,,,,,,,UMNO,ONN HAFIZ GHAZI,MALE,48,,,AMANAH,NUR HAFIZ ROSLAN,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 151_N. 27,JOHOR,P. 151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,,3,,25181,,,,,,,MCA,CHUA JIAN BOON,MALE,32,,,PKR,GUNA BALAKRISHNAN,MALE,40,,,PPBM,HAJI ABD MUTALIP,MALE,56,,,,,,,,,,,,,,,,,,,,
P. 152_N. 28,JOHOR,P. 152,KLUANG,N. 28,MENGKIBOL,,2,,68457,,,,,,,MCA,WARREN YAP ZHI PENG,MALE,35,,,DAP,CHU POH YEE,FEMALE,32,,,,,,,,,,,,,,,,,,,,,,,,,,
