UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P. 185_N. 43,SARAWAK,P. 185,SIBU,N. 43,NANGKA,BN - PBB,Y,13827,,,,,,,PBB,AWANG BEMEE BIN AWANG ALI BASAH,MALE,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186_N. 44,SARAWAK,P. 186,MUKAH,N. 44,DALAT,BN - PBB,,14113,3907,63.62,8979,22,186,8771,PBB,DATUK MOHD. EFFENDI BIN NORWAWI,MALE,48,6339,,,,,,,,INDEPENDENT - OIL PALM,SIM ENG HUA,MALE,,2432,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186_N. 45,SARAWAK,P. 186,MUKAH,N. 45,BALINGIAN,BN - PBB,,10971,2031,67.79,7437,37,187,7213,PBB,ABDUL AJIS ABDUL MAJEED,MALE,45,4622,,,,,,,,INDEPENDENT - ALARM CLOCK,YUSUF ABDUL RAHMAN,MALE,,2591,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187_N. 46,SARAWAK,P. 187,SELANGAU,N. 46,TAMIN,BN - PBDS,,10072,3023,63.64,6410,4,121,6285,PBDS,JOSEPH ENTULU BELAUN,MALE,38,4612,,,,,,,,INDEPENDENT - UMBRELLA,MUNAN AK JOHN ANDREW,MALE,,1589,,INDEPENDENT - BUS,MUNAN A.J.,MALE,,84,,,,,,,,,,,,,,,,,,,
P. 187_N. 47,SARAWAK,P. 187,SELANGAU,N. 47,KAKUS,BN - PBDS,Y,9033,,,,,,,PBDS,JOHN SIKIE ANAK TAYAI,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 48,SARAWAK,P. 188,KAPIT,N. 48,PELAGUS,BN - PBDS,Y,12397,,,,,,,PBDS,SNG CHEE HUA,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 49,SARAWAK,P. 188,KAPIT,N. 49,KATIBAS,BN - PBB,Y,8363,,,,,,,PBB,AMBROSE BLIKAU ANAK ENTURAN,MALE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 189_N. 50,SARAWAK,P. 189,HULU RAJANG,N. 50,BALEH,BN - PBDS,,9631,4649,65.77,6334,7,154,6173,PBDS,DR. JAMES JEMUT MASING,MALE,47,5411,,,,,,,,INDEPENDENT - FISH,JOHN AK. PUNGGA,MALE,,762,,,,,,,,,,,,,,,,,,,,,,,,,
P. 189_N. 51,SARAWAK,P. 189,HULU RAJANG,N. 51,BELAGA,BN - SNAP,,6186,768,69.48,4298,0,101,4197,SNAP,STANLEY AJANG BATOK,MALE,42,1646,,,,,,,,INDEPENDENT - ROOSTER,RAYMON ABIN BIRA,MALE,,613,,INDEPENDENT - OIL PALM,DANIEL LEVOH IMANG,MALE,,613,,INDEPENDENT - FISH,WESLEY NGO,MALE,,214,,INDEPEDENT - UMBRELLA,MAI LAGIW @ MAY ANAK LEGEW,MALE,,878,,INDEPENDENT - KEY,STEM LIAU,MALE,,233,
P. 190_N. 52,SARAWAK,P. 190,BINTULU,N. 52,KEMENA,BN - PBB,Y,12739,,,,,,,PBB,CELESTINE UJANG ANAK JILAN,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 190_N. 53,SARAWAK,P. 190,BINTULU,N. 53,KIDURONG,DAP,,16194,22,63.96,10357,24,99,10234,SUPP,MICHAEL SIM KIAM HUI,MALE,,5106,,DAP,WONG SING AI,MALE,,5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 190_N. 54,SARAWAK,P. 190,BINTULU,N. 54,JEPAK,BN - PBB,,10700,5287,63.58,6803,22,105,6676,PBB,HAJI TALIB BIN ZULPILIP,MALE,45,5892,,,,,,,,INDEPENDENT - OIL PALM,AWANG ABDILLAH B.AWANG NASAR,MALE,,605,,INDEPENDENT - KEY,DICK BIN WINIE,MALE,,179,,,,,,,,,,,,,,,,,,,
P. 191_N. 55,SARAWAK,P. 191,MIRI,N. 55,LAMBIR,BN - PBB,,19488,5266,55.52,10820,3,169,10648,PBB,AIDAN WING,MALE,42,7794,,,,,,,,INDEPENDENT - OIL PALM,MOHDAR ISMAIL,MALE,,2528,,INDEPENDENT - UMBRELLA,JANTING AK.T.R. JAWA,MALE,,326,,,,,,,,,,,,,,,,,,,
P. 191_N. 56,SARAWAK,P. 191,MIRI,N. 56,PIASAU,BN - SUPP,,21111,5191,58.9,12435,43,109,12283,SUPP,DATUK DR. GEORGE CHAN HONG NAM,MALE,60,8737,,DAP,LAW CHING SING,MALE,,3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 191_N. 57,SARAWAK,P. 191,MIRI,N. 57,SENADIN,BN - SUPP,,22567,7757,56.65,12785,0,233,12552,SUPP,LEE KIM SHIN,MALE,46,9568,,,,,,,,INDEPENDENT - OIL PALM,YONG HONNG FUH,MALE,,1811,,INDEPENDENT - KEY,HADIN AK MULAU,MALE,,1173,,,,,,,,,,,,,,,,,,,
P. 192_N. 58,SARAWAK,P. 192,BARAM,N. 58,MARUDI,BN - SNAP,Y,11995,,,,,,,SNAP,ENTRI AK MURAN,MALE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
