UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.11_N.17,KEDAH,P.11,MERBOK,N.17,GURUN,BN - MCA,,21562,5632,71.64,15447,44,597,14806,MCA,BEH HENG SEONG,MALE,,10219,,,,,,,,,,,,,,S46,ABDUL MAJID B MAT ISA,MALE,,4587,,,,,,,,,,,,,
P.11_N.18,KEDAH,P.11,MERBOK,N.18,TANJONG DAWAI,BN - UMNO,,29095,8216,75.59,21994,542,870,20582,UMNO,ROKIAH BT HAJI HASHIM,FEMALE,,14399,,PAS,GAZALI BIN HAJI DIN,MALE,,6183,,,,,,,,,,,,,,,,,,,,,,,,,
P.12_N.19,KEDAH,P.12,SIK,N.19,JENERI,BN - UMNO,,27259,3374,80.28,21884,0,719,21165,UMNO,DATO DR. WAN AZMI B ARIFFIN,MALE,,12069,,PAS,DATO HAJI MOHD HUSLIM,MALE,,8695,,,,,,,,,,,,,,INDEPENDENT,USTAZ ABU HASSAN B ABDUL,MALE,,401,LOST DEPOSIT,,,,,,
P.12_N.20,KEDAH,P.12,SIK,N.20,BUKIT SELAMBAU,BN - UMNO,,18412,4359,74.73,13759,8,472,13279,UMNO,BADRI BIN YUNOS,MALE,,8819,,,,,,,,,,,,,,S46,DATO' ZAINOL ABIDIN B JOHARI,MALE,,4460,,,,,,,,,,,,,
P.13_N.21,KEDAH,P.13,BALING,N.21,BAYU,BN - UMNO,,20823,5774,78.57,16360,49,499,15812,UMNO,DATO' HAJI SEROJI B HAJI HARON,MALE,,10793,,,,,,,,,,,,,,S46,ISHAK B ISMAIL,MALE,,5019,,,,,,,,,,,,,
P.13_N.22,KEDAH,P.13,BALING,N.22,KUPANG,BN - UMNO,,22122,2013,77.56,17158,13,468,16677,UMNO,HAJI ZAINOL B HAJI MD ISA,MALE,,9345,,PAS,USTAZ HAJI SUHAIMI BIN HAJI AHMAD,MALE,,7332,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.23,KEDAH,P.14,SUNGAI PETANI,N.23,PANTAI MERDEKA,BN - UMNO,,27353,6015,74.85,20475,0,522,19953,UMNO,HAJI ABD. MANAF B HAJI AHMAD,MALE,,12984,,PAS,CIKGU AZIZAN HAJI MAGHRIBI,MALE,,6969,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_N.24,KEDAH,P.14,SUNGAI PETANI,N.24,TIKAM BATU,BN - GERAKAN,,25430,3461,70.66,17969,0,668,17301,GERAKAN,FU CHUN YEEN,MALE,,9525,,,,,,,,DAP,CHONG KOK HEONG,,,6064,,,,,,,,INDEPENDENT,MOHAMAD ISA BIN MAHAMUD,MALE,,1712,LOST DEPOSIT,,,,,,
P.15_N.25,KEDAH,P.15,PADANG SERAI,N.25,LUNAS,BN - MIC,,25458,3756,74.33,18922,60,830,18032,MIC,DATO DR. S. SUBRAMANIAM,MALE,,9258,,,,,,,,AMIPF,K. MURUGAIH,MALE,,5502,,,,,,,,INDEPENDENT,HAJI MUSTAPA B MD TAIB,MALE,,3272,,,,,,,
P.15_N.26,KEDAH,P.15,PADANG SERAI,N.26,MERBAU PULAS,BN - UMNO,,18644,6246,73.17,13642,9,609,13024,UMNO,MAHMUD BIN MD ZAIN,MALE,,9635,,,,,,,,,,,,,,S46,AB. SALIM BIN IDRIS,MALE,,3389,,,,,,,,,,,,,
