UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 34,TERENGGANU,P. 34,SETIU,BA - PAS,,41898,3020,82.75,34672,34,704,33934,UMNO,TENGKU MAHMUD BIN MANSOR,MALE,58,15457,,PAS,CHE GHANI BIN CHE AMBAK,MALE,,18477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 35,TERENGGANU,P. 35,KUALA NERUS,BA - PAS,,44555,7078,83.69,37289,464,687,36138,UMNO,ABDUL RAHIN BIN DATO' MOHD SAID,MALE,40,14530,,PAS,CIKGU SHUKRIMUN BIN SHAMSUDIN,MALE,40,21608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,BA - PAS,,64435,14448,76.51,49301,359,230,48712,UMNO,DATO' ABU BAKAR BIN DAUD,MALE,63,17132,,PAS,DR. SYED AZMAN SYED AHMAD,MALE,38,31580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37,TERENGGANU,P. 37,MARANG,BA - PAS,,58559,12700,83.01,48611,105,840,47666,UMNO,DATO' HAJI MUDA BIN MAMAT,MALE,48,17483,,PAS,TUAN GURU HJ. ABDUL HADI AWANG,MALE,52,30183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,BA - PAS,,39190,4111,82.35,32274,50,755,31469,UMNO,OTHMAN BIN DAUD,MALE,,13679,,PAS,HAJI MUHYIDIN BIN HAJI ABDUL RASHID,MALE,,17790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39,TERENGGANU,P. 39,DUNGUN,BA - PAS,,45296,8118,81.41,36875,0,497,36378,UMNO,DATO' IBRAHIM BIN AWANG,MALE,,14130,,PAS,HAJI MUSTAFFA BIN ALI,MALE,54,22248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40,TERENGGANU,P. 40,KEMAMAN,BA - PKN,,50616,1535,80.76,40878,81,902,39895,UMNO,DATO' WAN ZAKI BIN WAN MUDA,MALE,50,19180,,,,,,,,PKN,HAJI ABD. RAHMAN BIN YUSOF,MALE,42,20715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,BN - UMNO,,36215,11175,81.39,29477,64,618,28795,UMNO,DATO' SERI ABDULLAH HAJI AHMAD BADAWI,MALE,60,19985,,PAS,ABD. KHALID BIN RASID,MALE,,8810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,BN - UMNO,,38697,4236,80.03,30968,745,587,29636,UMNO,DATO' SERI MOHD. SHARIFF HAJI OMAR,MALE,,16936,,,,,,,,PKN,HAJI ROSLI,MALE,,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43,PULAU PINANG,P. 43,BAGAN,BA - DAP,,72108,2758,74.72,53882,42,1084,52756,MCA,TAN TIAO KUEN,MALE,,24999,,DAP,LIM HOCK SENG,MALE,51,27757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
