UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 3_N.11,PERLIS,P. 3,ARAU,N.11,PAUH,BN - UMNO,,7334,1663,79.90,5860,45,172,5643,UMNO,HJ. ABU BAKAR B. HJ. ISMAIL (CIKGU BAKAR),MALE,,3653,,,,,,,,PKN,ZULMI BIN SABRI,MALE,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N.12,PERLIS,P. 3,ARAU,N.12,TAMBUN TULANG,BN - UMNO,,7467,877,82.72,6177,2,124,6051,UMNO,DATO' SERI SHAHIDAN KASSIM,MALE,,3464,,PAS,HJ. ISMAIL BIN HJ. AHMAD,MALE,,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N.13,PERLIS,P. 3,ARAU,N.13,GUAR SANJI,BA - PAS,,7302,603,84.32,6157,1,123,6033,UMNO,CIKGU AZIB BIN HJ. SAAD,MALE,,2715,,PAS,USTAZ AHMAD BIN ALI,MALE,,3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N.14,PERLIS,P. 3,ARAU,N.14,SIMPANG EMPAT,BN - UMNO,,6258,248,80.43,5033,6,107,4920,UMNO,ZAHARI BIN BAKAR,MALE,,2584,,PAS,DR. CHE ROSLI B. CHE MAT,MALE,,2336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 3_N.15,PERLIS,P. 3,ARAU,N.15,SANGLANG,BA - PAS,,7670,333,81.43,6246,2,87,6157,UMNO,UST. HJ. KARIM BIN SALLEH,MALE,,2912,,PAS,UST. HASHIM B. HJ. JASIN,MALE,,3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4_N.1,KEDAH,P. 4,LANGKAWI,N.1,PADANG MATSIRAT,BN - UMNO,,12554,1994,82.33,10336,2,262,10072,UMNO,MD. HASAN BIN BULAT,MALE,,6033,,PAS,CIKGU SIDIK BIN ARIFFIN,MALE,60,4039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 4_N.2,KEDAH,P. 4,LANGKAWI,N.2,KUAH,BN - UMNO,,10527,3280,78.19,8231,58,193,7980,UMNO,SANUSI BIN JUNID,MALE,,5630,,PAS,HAJI CHE DIN B. ARSHAD,MALE,,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5_N.3,KEDAH,P. 5,JERLUN,N.3,AYER HITAM,BA - PAS,,22153,144,78.30,17346,5,369,16972,UMNO,ABDUL RAHMAN ARIFFIN,MALE,,8414,,PAS,UST. ABD. GHANI AHMAD,MALE,,8558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 5_N.4,KEDAH,P. 5,JERLUN,N.4,KOTA SIPUTEH,BN - UMNO,,21847,261,78.23,17090,8,389,16693,UMNO,ABU HASAN BIN SARIF,MALE,,8477,,PAS,CIKGU WAHAB ABD. RAHMAN,MALE,,8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6_N.5,KEDAH,P. 6,KUBANG PASU,N.5,TUNJANG,BN - UMNO,,22883,4627,79.02,18082,749,492,16841,UMNO,BARISHAH BINTI SAAD,FEMALE,,10734,,PAS,USTAZ HJ. ABU KASIM B. ABDULLAH,MALE,,6107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 6_N.6,KEDAH,P. 6,KUBANG PASU,N.6,JITRA,BN - UMNO,,23042,4234,78.22,18024,21,381,17622,UMNO,PROF. DATO' DR. OTHMAN ISHAK,MALE,63,10928,,PAS,CIKGU HAJI NANYAN SAAD,MALE,,6694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
