UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY/MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - EARLY VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2021)
P.201_N.27,SARAWAK,P.201,BATANG LUPAR,N.27,SEBUYAU,9367,64.93,2.84,27.92,0.45,,N/A,99.93,0.00,0.07,7,22.22,20.56,23.05,15.73,8.36,2.32,0.77,50.01,49.99,RURAL
P.201_N.28,SARAWAK,P.201,BATANG LUPAR,N.28,LINGGA,9578,63.87,4.01,24.96,0.36,,N/A,99.97,0.02,0.01,8.34,19.48,20.1,22.96,16.97,8.83,2.61,0.71,47.09,52.91,RURAL
P.201_N.29,SARAWAK,P.201,BATANG LUPAR,N.29,BETING MARO,11094,90.11,1.47,6.13,0.07,,N/A,99.86,0.01,0.13,11.56,26.72,20.61,21.62,12.2,5.16,1.5,0.64,49.68,50.32,SEMI URBAN
P.202_N.30,SARAWAK,P.202,SRI AMAN,N.30,BALAI RINGIN,10791,4.86,6.52,N/A,1.78,,N/A,99.98,0.00,0.02,6.42,17.31,20.78,23.81,17.72,10.07,2.92,0.97,49.99,50.01,RURAL
P.202_N.31,SARAWAK,P.202,SRI AMAN,N.31,BUKIT BEGUNAN,9632,15.85,5.45,N/A,0.82,,N/A,91.61,0.00,8.39,9.41,17.24,18.57,22.55,17.93,10.74,2.92,0.64,51.43,48.57,RURAL
P.202_N.32,SARAWAK,P.202,SRI AMAN,N.32,SIMANGGANG,13224,11.68,31.79,N/A,0.95,,N/A,98.15,0.01,1.84,9.09,21.46,20.49,20.7,16.55,8.39,2.76,0.56,48.51,51.49,SEMI URBAN
P.203_N.33,SARAWAK,P.203,LUBOK ANTU,N.33,ENGKILILI,11039,1.97,11.36,N/A,0.41,,N/A,99.86,0.01,0.14,7.37,17.81,20.86,23.63,16.89,9.31,3.04,1.08,49.49,50.51,RURAL
P.203_N.34,SARAWAK,P.203,LUBOK ANTU,N.34,BATANG AI,9929,1.60,3.40,N/A,0.38,,N/A,99.27,0.00,0.73,7.08,20.85,21.59,22.8,15.37,8.54,2.64,1.13,50.2,49.8,RURAL
P.204_N.35,SARAWAK,P.204,BETONG,N.35,SARIBAS,10984,81.30,3.01,13.23,0.18,,2.29,99.95,0.00,0.05,11.31,25.06,21.28,20.36,13.77,5.87,1.83,0.53,49.28,50.72,RURAL
P.204_N.36,SARAWAK,P.204,BETONG,N.36,LAYAR,9334,15.04,12.28,N/A,0.77,,N/A,98.54,0.00,1.46,8.02,20.47,19.15,22.69,16.93,9.26,3.09,0.4,49.4,50.6,RURAL
