UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.212_N.54,SARAWAK,P.212,SIBU,N.54,PELAWAN,32233,4.9,91.2,3.1,,,0.8,98.01,0.02,0,1.97,12.12,25.09,23.89,19,12.71,5.16,1.69,0.34,48.98,51.02,URBAN
P.212_N.55,SARAWAK,P.212,SIBU,N.55,NANGKA,18605,50.7,27.1,18.6,1.1,0.8,1.7,83.64,0.01,16.36,0,18.27,27.46,21.26,15.45,10.43,5,1.54,0.6,49.24,50.76,URBAN
P.213_N.56,SARAWAK,P.213,MUKAH,N.56,DALAT,11440,89.5,8.6,1.1,,,0.8,99.37,0.01,0,0.62,13.83,21.25,19.74,21.03,14.84,7.18,1.88,0.25,48.63,51.37,RURAL
P.213_N.57,SARAWAK,P.213,MUKAH,N.57,TELLIAN,8914,55.5,14.4,29.2,,,0.9,98.6,0,0,1.4,10.43,21.18,22.02,20.76,14.36,8.03,2.68,0.53,49.41,50.59,SEMI-URBAN
P.213_N.58,SARAWAK,P.213,MUKAH,N.58,BALINGIAN,7967,61,6.5,31.6,,,0.9,99.95,0,0,0.05,10.8,22.64,22.78,20.27,14.1,6.95,1.93,0.52,50.01,49.99,RURAL
P.214_N.59,SARAWAK,P.214,SELANGAU,N.59,TAMIN,14948,0.9,2.8,95.5,,,0.8,99.89,0,0,0.11,12.1,21.8,23.57,19.54,11.66,7.48,2.74,1.12,49.24,50.76,RURAL
P.214_N.60,SARAWAK,P.214,SELANGAU,N.60,KAKUS,12953,4.2,6.5,85.4,,4.5,1.8,99.68,0,0,0.32,10.77,22.29,24.12,19.84,12.69,7.21,2.04,1.06,50.17,49.83,RURAL
P.215_N.61,SARAWAK,P.215,KAPIT,N.61,PELAGUS,7186,0.5,0.5,98,,,1,100,0,0,0,12.79,23.8,21.88,19.58,10.3,7.82,2.66,1.11,48.1,51.9,RURAL
P.215_N.62,SARAWAK,P.215,KAPIT,N.62,KATIBAS,9666,3.4,5,90.5,,,1.1,99.59,0,0,0.41,9.56,21.29,21.11,20.91,13.53,9.11,3.23,1.2,48.11,51.89,RURAL
P.215_N.63,SARAWAK,P.215,KAPIT,N.63,BUKIT GORAM,11510,5.6,19.7,72.8,,,1.9,99.41,0,0,0.59,10.63,22.01,22.61,21.82,12.41,7.11,2.46,0.96,46.17,53.83,RURAL
