UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2016),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,PH2,PH2 CANDIDATE,PH2 CANDIDATE GENDER,PH2 CANDIDATE AGE,PH2 CANDIDATE VOTE,PH2 CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,STAR,STAR CANDIDATE,STAR CANDIDATE GENDER,STAR CANDIDATE AGE,STAR CANDIDATE VOTE,STAR CANDIDATE LOST DEPOSIT,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE GENDER,PBDSB CANDIDATE AGE,PBDSB CANDIDATE VOTE,PBDSB CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.207_N.44,SARAWAK,P.207,IGAN,N.44,JEMORENG,BN - PBB,,9699,"3,789",69.40%,"6,729",30,133,"6,566",PBB,DATO' DR. JUANDA BIN JAYA,MALE,44,5084,,PAN,KIPRAWI BIN SUHAILI,MALE,70,187,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ABDULLAH BIN SAMINAN,MALE,,"1,295",,,,,,,
P.208_N.45,SARAWAK,P.208,SARIKEI,N.45,REPOK,BN - SUPP,,20263,943,71.60%,"14,503",28,145,"14,330",SUPP,HUANG TIONG SII,MALE,47,7446,,DAP,YONG SIEW WEI,FEMALE,30,6503,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FLOWER,WONG CHIN KING,MALE,50,381,LOST DEPOSIT,,,,,,
P.208_N.46,SARAWAK,P.208,SARIKEI,N.46,MERADONG,BN - SUPP,,16882,"1,516",73.50%,"12,413",34,165,"12,214",SUPP,DING KUONG HIING,MALE,61,6865,,DAP,TING TZE FUI,FEMALE,35,5349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.209_N.47,SARAWAK,P.209,JULAU,N.47,PAKAN,BN - DIRECT,,10322,426,77.40%,"7,993",8,128,"7,857",Direct,WILLIAM MAWAN IKOM,MALE,67,3999,,DAP,RINDA JULIZA ANAK ALEXANDER,FEMALE,31,285,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,JAWIE ANAK JINGOT@JENGGOT,MALE,,"3,573",,,,,,,
P.209_N.48,SARAWAK,P.209,JULAU,N.48,MELUAN,BN - SPDP,,13103,677,69.80%,"9,140",22,127,"8,991",SPDP,ROLLAND DUAT ANAK JUBIN,MALE,51,3363,,PKR,SEMANA ANAK SAWANG,MALE,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,REMIGUIS NOEL @ JERRY ANAK CLEMENT,MALE,,934,LOST DEPOSIT,INDEPENDENT - KEY,ELLY LAWAI ANAK NGALAI,MALE,49,"2,686",
P.210_N.49,SARAWAK,P.210,KANOWIT,N.49,NGEMAH,BN - PRS,,8899,154,71.90%,"6,396",21,114,"6,261",PRS,ALEXANDER ANAK VINCENT,MALE,,2888,,DAP,RICHARD ANAK LIAS,MALE,57,243,LOST DEPOSIT,PKR,THOMAS LAJA ANAK BESI,MALE,63,396,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - HOE,DR JOSEPH JAWA ANAK KENDAWANG,MALE,62,2734,,,,,,,
P.210_N.50,SARAWAK,P.210,KANOWIT,N.50,MACHAN,BN - PBB,,10947,"2,952",70.40%,"7,704",20,155,"7,529",PBB,ALLAN SIDEN GRAMONG,MALE,30,4550,,PKR,CHEN NGUK FA,MALE,54,1381,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - FLOWER,SEMAWI ANAK PAONG,MALE,38,"1,598",,,,,,,
P.211_N.51,SARAWAK,P.211,LANANG,N.51,BUKIT ASSEK,PH - DAP,,28341,"4,497",66.60%,"18,881",40,180,"18,661",SUPP,CHIENG BUONG TOON,MALE,,6895,,DAP,IRENE MARY CHANG OI LING,FEMALE,51,11392,,,,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,374,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.211_N.52,SARAWAK,P.211,LANANG,N.52,DUDONG,BN - DIRECT,,29028,"2,146",73.00%,"21,183",42,219,"20,922",Direct,TIONG THAI KING,MALE,70,9700,,DAP,YAP HOI LIONG,MALE,46,7554,,,,,,,,,,,,,,STAR,TING YIIK HONG,FEMALE,49,152,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,LEE CHUNG FATT,MALE,,"3,288",,INDEPENDENT - CHAIR,CASPER KAYONG ANAK UMPING,MALE,,228,LOST DEPOSIT
P.212_N.53,SARAWAK,P.212,SIBU,N.53,BAWANG ASSAN,BN - DIRECT,,18340,"4,131",80.70%,"14,801",21,149,"14,631",Direct,WONG SOON KOH,MALE,74,9015,,DAP,CHIEW SUNG NGIE,MALE,38,4884,,,,,,,,,,,,,,STAR,WONG SING WEI,MALE,,100,LOST DEPOSIT,,,,,,,INDEPENDENT - BIRD,WATSON BANGAU ANAK JOHNATHAN RENANG,MALE,,569,LOST DEPOSIT,INDEPENDENT - KEY,YEU BANG KENG,MALE,48,63,LOST DEPOSIT
P.212_N.54,SARAWAK,P.212,SIBU,N.54,PELAWAN,PH - DAP,,32233,"4,314",70.20%,"22,628",59,174,"22,395",Direct,LAU UNG HIE,FEMALE,69,8742,,DAP,WONG KEE WOAN,MALE,54,13056,,,,,,,,,,,,,,STAR,PRISCILLA LAU,FEMALE,47,597,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.212_N.55,SARAWAK,P.212,SIBU,N.55,NANGKA,BN - PBB,,18605,"7,617",67.80%,"12,613",37,186,"12,390",PBB,DR. ANNUAR RAPA'EE,MALE,53,9617,,PKR,ABDUL RAAFIDIN BIN MAJIDI,MALE,33,2000,,,,,,,,,,,,,,STAR,TIONG ING TUNG,MALE,48,773,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
