UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2006),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE GENDER,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PKR,PKR CANDIDATE,PKR CANDIDATE GENDER,PKR CANDIDATE AGE,PKR CANDIDATE VOTE,PKR CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE GENDER,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE GENDER,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPDENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.210_N.44,Sarawak,P.210,KANOWIT,N.44,MACHAN,BN - PBB,,9966,2289,59.29%,5909,15,93,5801,PBB,GRAMONG JUNA,MALE,57,4045,,SNAP,RIMONG ANAK JANTAN,MALE,,1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.211_N.45,Sarawak,P.211,LANANG,N.45,BUKIT ASSEK,DAP,,26002,4751,61.91%,16099,12,78,16009,SUPP,NGIENG KIONG ANN,MALE,54,5629,,,,,,,,,,,,,,DAP,WONG HO LENG,MALE,47,10380,,,,,,,,,,,,,,,,,,,,,,,,,
P.211_N.46,Sarawak,P.211,LANANG,N.46,DUDONG,BN - SUPP,,21819,408,66.81%,14579,59,210,14310,SUPP,SOON CHOON TECK,MALE,63,7359,,,,,,,,,,,,,,DAP,STEPHEN LU CHENG KUOK,MALE,35,6951,,,,,,,,,,,,,,,,,,,,,,,,,
P.212_N.47,Sarawak,P.212,SIBU,N.47,BAWANG ASSAN,BN - SUPP,,16844,2504,66.32%,11172,0,68,11104,SUPP,WONG SOON KOH,MALE,64,6804,,,,,,,,,,,,,,DAP,WONG KEE WOAN,MALE,43,4300,,,,,,,,,,,,,,,,,,,,,,,,,
P.212_N.48,Sarawak,P.212,SIBU,N.48,PELAWAN,BN - SUPP,,22559,263,64.66%,14587,17,83,14487,SUPP,GOH CHUNG SIONG,MALE,55,7375,,,,,,,,,,,,,,DAP,TING CHEK MING,MALE,,7112,,,,,,,,,,,,,,,,,,,,,,,,,
P.212_N.49,Sarawak,P.212,SIBU,N.49,NANGKA,BN - PBB,,12973,4815,60.42%,7839,68,182,7589,PBB,AWANG BEMEE BIN AWANG ALI BASAH,MALE,47,6202,,,,,,,,PKR,ABANG BUNGSU @ ABG ARIFFIN B. ABG SEBLI,MALE,,"1,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.213_N.50,Sarawak,P.213,MUKAH,N.50,DALAT,BN - PBB,Y,11423,,0.00%,,,,0,PBB,FATIMAH BT ABDULLAH,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.213_N.51,Sarawak,P.213,MUKAH,N.51,BALINGIAN,BN - PBB,,11326,5726,63.37%,7178,15,103,7060,PBB,PEHIN SRI HAJI ABDUL TAIB BIN MAHMUD,MALE,70,6393,,,,,,,,PKR,IBRAHIM BIN BAYAU,MALE,50,667,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.214_N.52,Sarawak,P.214,SELANGAU,N.52,TAMIN,BN - PRS,,10900,2377,64.43%,7023,2,120,6901,PRS,JOSEPH MAUH A/K IKEH,MALE,55,4639,,SNAP,AUGUSTINE ANAK LIOM @ AUGUST LIOM,MALE,,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.214_N.53,Sarawak,P.214,SELANGAU,N.53,KAKUS,BN - PRS,,9417,2852,58.33%,5493,11,73,5409,PRS,JOHN SIKIE ANAK TAYAI,MALE,56,3739,,SNAP,CHARLIE @ CHALI ANAK LUNYONG,MALE,,887,,,,,,,,,,,,,,,,,,,,INDEPENDENT,CHIN KHIN HEE,MALE,,783,,,,,,,,,,,,,
