UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPDENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPDENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPDENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 173,SABAH,P. 173,PUTATAN,BN - UPKO,,34935,6445,66.68,23296,741,608,21947,UPKO,MAKIN @ MARCUS MOJIGOH,MALE,56,13737,,PKR,SAUKINAH BINTI YUSSOF,FEMALE,,7292,,,,,,,,,,,,,,INDEPENDENT - KEY,RAMZAH BIN AHMAD,MALE,,918,LOST DEPOSIT,,,,,,,,,,,,
P. 174,SABAH,P. 174,PENAMPANG,BN - UPKO,,35821,3063,71.33,25552,175,540,24837,UPKO,BERNARD GILUK DOMPOK,MALE,59,13400,,PKR,EDWIN @ JACK BOSI,MALE,,10337,,,,,,,,,,,,,,INDEPENDENT - KEY,ANTHONY TIBOK,MALE,,696,LOST DEPOSIT,INDEPENDENT - UMBRELLA,LEVIRED MISIH @ WILLYBROAD MISSI,MALE,,404,LOST DEPOSIT,,,,,,
P. 175,SABAH,P. 175,PAPAR,BN - UMNO,,32279,9574,77.18,24913,435,651,23827,UMNO,ROSNAH BTE HJ ABD RASHID SHIRLIN,FEMALE,36,15352,,PKR,WAHAP BIN IDRIS,MALE,,5778,,,,,,,,,,,,,,INDEPENDENT - KEY,PATRICK BIN SINDU,MALE,,2268,LOST DEPOSIT,INDEPENDENT - OIL PALM,MOHD HASHIM BIN YUSSUP @ YUSOF,MALE,,429,LOST DEPOSIT,,,,,,
P. 176,SABAH,P. 176,KIMANIS,BN - UMNO,,22239,5453,78.09,17367,16,500,16851,UMNO,ANIFAH BIN AMAN @ HANIFF AMMAN,MALE,55,10242,,PKR,ISMAIL BIN BUNGSU,MALE,,1615,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - BOOK,JAAFAR BIN ISMAIL,MALE,,4789,,INDEPENDENT - KEY,BENJAMIN BIN BASINTAL,MALE,,205,LOST DEPOSIT,,,,,,
P. 177,SABAH,P. 177,BEAUFORT,BN - UMNO,,26788,10914,72.22,19346,19,681,18646,UMNO,LAJIM BIN UKIN,MALE,53,14780,,PKR,LAJIM BIN MD YUSOF,MALE,,3866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178,SABAH,P. 178,SIPITANG,BN - UMNO,,24145,6146,75.42,18211,16,531,17664,UMNO,SAPAWI BIN AMAT WASALI @ AHMAD,MALE,54,11905,,PKR,KARIM @ ABDUL KARIM BIN TASSIM,MALE,,5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 179,SABAH,P. 179,RANAU,BN - UPKO,,30810,7251,72.06,22201,32,653,21516,UPKO,SIRINGAN BIN GUBAT,MALE,59,14074,,PKR,JONATHAN BIN YASIN,MALE,,6823,,,,,,,,,,,,,,INDEPENDENT - KEY,VITOS MARK KODING,MALE,,619,LOST DEPOSIT,,,,,,,,,,,,
P. 180,SABAH,P. 180,KENINGAU,BN - PBS,,35578,4264,72.96,25956,0,464,25492,PBS,JOSEPH PAIRIN KITINGAN,MALE,68,14598,,PKR,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN,MALE,60,10334,,DAP,PETER KODOU @ PETER ANTHONY KODOU,MALE,,560,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 181,SABAH,P. 181,TENOM,BN - UMNO,,20874,6883,75.24,15705,11,523,15171,UMNO,RAIME BIN UNGGI,MALE,38,9535,,PKR,ADRIS BIN TARIPIN,MALE,,2652,,,,,,,,BERSEKUTU,MUTANG @ SYLVESTER BIN DAWAT,MALE,,485,LOST DEPOSIT,INDEPENDENT - UMBRELLA,JOH BIN JIMMY @ RICHARD JOE JIMMY,MALE,,2499,,,,,,,,,,,,,
P. 182,SABAH,P. 182,PENSIANGAN,BN - PBRS,Y,19712,,,,,,,PBRS,JOSEPH KURUP,MALE,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
