UNIQUE CODE (2008),STATE (2008),PARLIAMENTARY CONSTITUENCY CODE (2008),PARLIAMENTARY CONSTITUENCY NAME (2008),AREA (SQ KM),NOTES
P. 89,PAHANG,P. 89,BENTONG,1579.8,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 90,PAHANG,P. 90,BERA,2217.61,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 91,PAHANG,P. 91,ROMPIN,5533.45,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 92,SELANGOR,P. 92,SABAK BERNAM,335.08,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 93,SELANGOR,P. 93,SUNGAI BESAR,609.26,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 94,SELANGOR,P. 94,HULU SELANGOR,1718.4,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 95,SELANGOR,P. 95,TANJONG KARANG,763.53,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 96,SELANGOR,P. 96,KUALA SELANGOR,433.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 97,SELANGOR,P. 97,SELAYANG,299.63,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 98,SELANGOR,P. 98,GOMBAK,268.96,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 99,SELANGOR,P. 99,AMPANG,45.86,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 100,SELANGOR,P. 100,PANDAN,21.33,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 101,SELANGOR,P. 101,HULU LANGAT,694.42,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 102,SELANGOR,P. 102,SERDANG,120.92,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 103,SELANGOR,P. 103,PUCHONG,107.63,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 104,SELANGOR,P. 104,KELANA JAYA,40.11,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 105,SELANGOR,P. 105,PETALING JAYA SELATAN,18.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 106,SELANGOR,P. 106,PETALING JAYA UTARA,16.77,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 107,SELANGOR,P. 107,SUBANG,146.55,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 108,SELANGOR,P. 108,SHAH ALAM,153.68,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 109,SELANGOR,P. 109,KAPAR,314.02,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 110,SELANGOR,P. 110,KLANG,126.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 111,SELANGOR,P. 111,KOTA RAJA,127.83,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 112,SELANGOR,P. 112,KUALA LANGAT,549.15,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 113,SELANGOR,P. 113,SEPANG,791.34,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 114,KEPONG,11.42,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 115,BATU,23.25,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
