UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MUSLIM BUMIPUTERA VOTERS,NON MUSLIM BUMIPUTERA VOTERS,CHINESE VOTERS,OTHER VOTERS,ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY AND POLICE VOTERS,ELECTORS - POLICE VOTERS,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS,URBAN-RURAL CLASSIFICATION (2025)
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,27518,,,,,27458,60,0,2168,6979,7153,4453,2976,2231,1067,309,182,13934,13584,URBAN
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,19615,,,,,18290,969,356,876,3891,4055,3146,2870,2495,1415,493,374,10510,9105,URBAN
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,39004,,,,,38804,0,200,2480,9037,9432,6532,4435,3885,2170,717,316,19621,19383,URBAN
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,16767,,,,,16518,0,249,785,2706,2836,2508,2678,2753,1615,538,348,8503,8264,URBAN
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,18228,,,,,18228,0,0,1624,4794,4499,2902,2021,1410,504,278,196,9227,9001,RURAL
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,13859,,,,,13659,0,200,1126,3509,3356,2571,1634,1091,378,111,83,7201,6658,RURAL
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,16541,,,,,16541,0,0,1255,3761,3923,2802,2244,1531,655,175,195,8630,7911,RURAL
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,24741,,,,,24342,273,126,1939,6687,7003,3876,2575,1836,531,151,143,12908,11833,RURAL
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,29840,,,,,29189,111,540,2653,8207,7315,4565,3181,2394,1040,269,216,15563,14277,URBAN
P. 188_N. 62,SABAH,P. 188,LAHAD DATU,N. 62,SILAM,28261,,,,,27674,0,587,2210,6581,7141,4935,3325,2518,1087,294,170,14594,13667,URBAN
P. 188_N. 63,SABAH,P. 188,LAHAD DATU,N. 63,KUNAK,24854,,,,,24664,0,190,2018,6542,6388,3891,2639,2140,854,231,151,12633,12221,RURAL
P. 189_N. 64,SABAH,P. 189,SEMPORNA,N. 64,SULABAYAN,20258,,,,,20258,0,0,1631,4616,4546,3541,2889,1812,542,270,411,9855,10403,RURAL
P. 189_N. 65,SABAH,P. 189,SEMPORNA,N. 65,SENALLANG,20763,,,,,20361,364,38,1703,5007,4510,3663,2785,1895,712,273,215,10288,10475,SEMI URBAN
P. 189_N. 66,SABAH,P. 189,SEMPORNA,N. 66,BUGAYA,36569,,,,,35568,0,1001,3522,10369,9299,5814,3819,2393,811,294,248,18576,17993,URBAN
P. 190_N. 67,SABAH,P. 190,TAWAU,N. 67,BALUNG,22252,,,,,22252,0,0,1830,4934,5415,3855,2593,2314,954,238,119,11332,10920,SEMI URBAN
P. 190_N. 68,SABAH,P. 190,TAWAU,N. 68,APAS,32241,,,,,31632,609,0,2571,8259,7792,5029,3661,3041,1331,377,180,16689,15552,URBAN
P. 190_N. 69,SABAH,P. 190,TAWAU,N. 69,SRI TANJONG,37327,,,,,36577,0,750,2053,7015,7296,6860,5557,4659,2703,816,368,19121,18206,URBAN
P. 191_N. 70,SABAH,P. 191,KALABAKAN,N. 70,KUKUSAN,19225,,,,,17762,1463,0,1231,4358,4608,3559,2320,1990,838,212,109,9949,9276,URBAN
P. 191_N. 71,SABAH,P. 191,KALABAKAN,N. 71,TANJUNG BATU,27428,,,,,27428,0,0,2034,6963,7815,4871,2430,2191,861,226,37,13855,13573,URBAN
P. 191_N. 72,SABAH,P. 191,KALABAKAN,N. 72,MEROTAI,26179,,,,,25618,0,561,2212,6664,6509,4361,2762,2254,959,301,157,13513,12666,RURAL
P. 191_N. 73,SABAH,P. 191,KALABAKAN,N. 73,SEBATIK,16893,,,,,16309,584,0,1212,4169,4695,2887,1856,1390,401,136,147,8872,8021,RURAL
