UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,NUMBER OF CANDIDATES,UNCONTESTED VICTORY,TOTAL ELECTORS,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,GRS,GRS CANDIDATE,GRS CANDIDATE SEX,GRS CANDIDATE AGE,GRS VOTE,GRS CANDIDATE LOST DEPOSIT,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,PN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PIS,PIS CANDIDATE,PIS CANDIDATE SEX,PIS CANDIDATE AGE,PIS VOTE,PIS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,OTHER PARTY (5),OTHER PARTY (5) CANDIDATE,OTHER PARTY (5) CANDIDATE SEX,OTHER PARTY (5) CANDIDATE AGE,OTHER PARTY (5) VOTE,OTHER PARTY (5) CANDIDATE LOST DEPOSIT,OTHER PARTY (6),OTHER PARTY (6) CANDIDATE,OTHER PARTY (6) CANDIDATE SEX,OTHER PARTY (6) CANDIDATE AGE,OTHER PARTY (6) VOTE,OTHER PARTY (6) CANDIDATE LOST DEPOSIT,OTHER PARTY (7),OTHER PARTY (7) CANDIDATE,OTHER PARTY (7) CANDIDATE SEX,OTHER PARTY (7) CANDIDATE AGE,OTHER PARTY (7) VOTE,OTHER PARTY (7) CANDIDATE LOST DEPOSIT,OTHER PARTY (8),OTHER PARTY (8) CANDIDATE,OTHER PARTY (8) CANDIDATE SEX,OTHER PARTY (8) CANDIDATE AGE,OTHER PARTY (8) VOTE,OTHER PARTY (8) CANDIDATE LOST DEPOSIT,OTHER PARTY (9),OTHER PARTY (9) CANDIDATE,OTHER PARTY (9) CANDIDATE SEX,OTHER PARTY (9) CANDIDATE AGE,OTHER PARTY (9) VOTE,OTHER PARTY (9) CANDIDATE LOST DEPOSIT,OTHER PARTY (10),OTHER PARTY (10) CANDIDATE,OTHER PARTY (10) CANDIDATE SEX,OTHER PARTY (10) CANDIDATE AGE,OTHER PARTY (10) VOTE,OTHER PARTY (10) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT,INDEPENDENT (6),INDEPENDENT (6) CANDIDATE,INDEPENDENT (6) CANDIDATE SEX,INDEPENDENT (6) CANDIDATE AGE,INDEPENDENT (6) VOTE,INDEPENDENT (6) CANDIDATE LOST DEPOSIT
P. 183_N. 48,SABAH,P. 183,BELURAN,N. 48,SUGUT,GRS - PGRS,7,,18435,2783,,,,273,12563,PGRS,DATUK JAMES RATIB,MALE,58,6281,,UMNO,MOHAMMAD ARIFIN BIN PACHUK,MALE,59,922,LOST DEPOSIT,PPBM,DR RONALD KIANDEE,MALE,64,3498,,,,,,,,WARISAN,ASPAH ABDULLAH SANI,MALE,64,1414,LOST DEPOSIT,PIS,ROSELY BIN LAJUN,MALE,50,220,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPRS,HASSAN BIN MENTIAK,MALE,59,85,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ROGER BIN LANGGAU,MALE,51,143,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183_N. 49,SABAH,P. 183,BELURAN,N. 49,LABUK,GRS - PGRS,8,,14564,979,,,,240,9102,PGRS,SAMAD BIN JAMBRI,MALE,52,2885,,UMNO,YUSOFLATIF BIN MUSTAPAH,MALE,65,1906,,PPBM,ASMAD BIN NASIR,MALE,47,1364,,,,,,,,WARISAN,JAPAR BIN AWANG,MALE,62,1411,,PIS,JOSEPH BIN EMUS,MALE,60,185,LOST DEPOSIT,,,,,,,PKAN,NURALIZAH LEE ABDULLAH,FEMALE,56,38,LOST DEPOSIT,,,,,,,KDM,MARX HENRY LIM,MALE,48,232,LOST DEPOSIT,UPKO,NORFADZLINA BINTI RAMSAH,FEMALE,43,1081,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 50,SABAH,P. 184,LIBARAN,N. 50,GUM-GUM,WARISAN,9,,19433,1103,,,,286,11441,,,,,,,,,,,,,PPBM,YUNUS BIN NURDIN,MALE,51,1894,,PKR,ABDUL SAID PIMPING,MALE,53,1863,,WARISAN,ARUNARNSIN BIN TAIB,MALE,59,2997,,PIS,ESNIN BIN SATUR,MALE,61,205,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,UPKO,DR. PETER JR NAINTIN,MALE,47,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,FADLY VOON @ WEA,MALE,40,98,LOST DEPOSIT,INDEPENDENT - HORSE,YUSUF YODA,MALE,33,693,LOST DEPOSIT,INDEPENDENT - TRACTOR,SALZO BIN ASA,MALE,59,1802,,INDEPENDENT - HORSE,ASMAWI BIN ASA,MALE,47,321,LOST DEPOSIT,,,,,,,,,,,,
P. 184_N. 51,SABAH,P. 184,LIBARAN,N. 51,SUNGAI MANILA,GRS - PGRS,6,,18217,1260,,,,273,11478,PGRS,HAZEM MUBARAK MUSA,MALE,43,4349,,UMNO,ZAINI BIN TIKSUN,MALE,55,3089,,PPBM,YUSRI BIN ABU,MALE,49,811,LOST DEPOSIT,,,,,,,WARISAN,SITTIINARA,FEMALE,58,2863,,PIS,IRIAN BIN NANANG,MALE,66,251,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPRS,FAIZAL BIN WAHAB,MALE,45,115,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 184_N. 52,SABAH,P. 184,LIBARAN,N. 52,SUNGAI SIBUGA,WARISAN,5,,38678,88,,,,432,21889,PGRS,DATUK AMIR @ AMIR SHAH BIN YAAKUB,MALE,61,6493,,UMNO,SUHAIMI BIN NASIR,MALE,57,6531,,PPBM,NORANI BINTI ASMATIL,FEMALE,47,1662,LOST DEPOSIT,,,,,,,WARISAN,LISA HASSAN ALBAN,FEMALE,49,6619,,PIS,ISMAIL MD SAID,MALE,63,584,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 53,SABAH,P. 185,BATU SAPI,N. 53,SEKONG,WARISAN,6,,27518,800,,,,316,16108,USNO,DIANA DIEGO,FEMALE,60,1721,LOST DEPOSIT,UMNO,MOHD ZHARIF AIZAT BIN SAMSUDIN,MALE,30,5687,,PPBM,MOHD FAZRIEE BIN AWANG,MALE,33,725,LOST DEPOSIT,,,,,,,WARISAN,ALIAS BIN SANI,MALE,56,6487,,PIS,ABADA BIN ATALAD,MALE,63,288,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TREE,ARIFIN BIN ASGALI,MALE,62,1200,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 185_N. 54,SABAH,P. 185,BATU SAPI,N. 54,KARAMUNTING,WARISAN,5,,19615,676,,,,270,11408,,,,,,,MCA,CHIN KIM HIUNG,MALE,57,2297,,,,,,,,PKR,GEORGE HIEW VUN ZIN,MALE,46,3635,,WARISAN,ALEX TK WONG,MALE,53,4311,,PIS,SOO MING SOON,MALE,57,217,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,KDM,CHEW KOK WOH,MALE,64,948,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186_N. 55,SABAH,P. 186,SANDAKAN,N. 55,ELOPURA,WARISAN,7,,39004,3375,,,,310,19089,,,,,,,,,,,,,GERAKAN,FIRDAUS SILVESTER,MALE,57,867,LOST DEPOSIT,DAP,VIVIAN WONG SHIR YEE,FEMALE,36,5228,,WARISAN,CALVIN CHONG,MALE,48,8603,,PIS,JEFFERY CHUNG CHEONG YUNG,MALE,41,848,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,KDM,LIAU FUI FUI,FEMALE,42,3211,,,,,,,,,,,,,,PPRS,WONG HON KONG,MALE,57,81,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,HAJJAH LITA TAN BINTI ABDULLAH,FEMALE,63,251,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186_N. 56,SABAH,P. 186,SANDAKAN,N. 56,TANJONG PAPAT,WARISAN,8,,16767,727,,,,164,9259,,,,,,,,,,,,,GERAKAN,ELVIS KOA WEI YANG,MALE,51,240,LOST DEPOSIT,DAP,TANG SZU CHING,FEMALE,29,2241,,WARISAN,ALEX THIEN,MALE,34,3254,,PIS,JAINUDIN BIN BERAHIM,MALE,62,149,LOST DEPOSIT,SAPP,HENLEY LIEW YUN YE,MALE,57,93,LOST DEPOSIT,,,,,,,,,,,,,KDM,FRANKIE POON MING FUNG,MALE,66,2527,,,,,,,,PKS,SOHAIMI BIN RAMLI,MALE,64,96,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PR,MOHD YUNUS BIN APIL,MALE,37,659,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187_N. 57,SABAH,P. 187,KINABATANGAN,N. 57,KUAMUT,GRS - PGRS,8,,18228,457,,,,274,12432,PGRS,MASIUNG BANAH,MALE,53,4980,,,,,,,,,,,,,,,,,,,,WARISAN,NORFAIZAH CHUA @ GIAK KIANG,FEMALE,65,1694,,PIS,TED KELVIN SUDIN,MALE,36,224,LOST DEPOSIT,STAR,JEVRONNIE MANDEK,MALE,39,648,LOST DEPOSIT,,,,,,,,,,,,,KDM,ABU BAKAR BIN ELLAH,MALE,66,224,LOST DEPOSIT,UPKO,MOHINA BINTI SIDOM,FEMALE,51,4523,,,,,,,,PPRS,JOHN BIN SUNGKIANG,MALE,66,107,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DUIN BIN BINTARANG,MALE,58,32,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187_N. 58,SABAH,P. 187,KINABATANGAN,N. 58,LAMAG,BN - UMNO,6,,13859,153,,,,129,9984,PGRS,JOHAINIZAMSHAH BIN JOHARI,MALE,39,1646,,UMNO,BUNG MOKTAR RADIN,MALE,66,3908,,PPBM,MAZLIN BIN MADALI,MALE,43,258,LOST DEPOSIT,,,,,,,WARISAN,SAIFULAH LOKMAN,MALE,31,372,LOST DEPOSIT,PIS,SALAHUDDIN @ SALEHUDDIN BIN ANOI,MALE,70,45,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MIHA,MALE,44,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 187_N. 59,SABAH,P. 187,KINABATANGAN,N. 59,SUKAU,BN - UMNO,7,,16541,1234,,,,235,11258,PGRS,JUHARI JANAN,MALE,64,3909,,UMNO,JAFRY BIN ARIFFIN,MALE,62,5143,,PPBM,PENGIRAN PETRA BIN PENGIRAN ASRI,MALE,38,381,LOST DEPOSIT,,,,,,,WARISAN,AZAHARI BIN RANGON,MALE,65,1605,,PIS,ROSLAN BIN MADALI,MALE,59,118,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKS,AFIQ ANWARI,MALE,33,48,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,PR,NORDIN BIN DAMIT,MALE,50,54,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 60,SABAH,P. 188,LAHAD DATU,N. 60,TUNGKU,WARISAN,7,,24741,1179,,,,,15281,PGRS,DATUK HJ ABDUL HAKIM BIN HJ GULAM HASSAN @ HJ MUDA,MALE,48,4560,,UMNO,SALEHA ABDUL WAHID,FEMALE,67,2622,,,,,,,,,,,,,,WARISAN,ASSAFFAL P. ALIAN,MALE,60,5739,,PIS,HAIRUNNIZAM BIN KAMSIN,MALE,32,112,LOST DEPOSIT,STAR,SULING BIN ISIB,MALE,43,2130,,,,,,,,,,,,,,,,,,,,,,,,,,PKS,JANI BIN KULMEN,MALE,59,73,LOST DEPOSIT,PPRS,JAKARIA BIN NASIRAN,MALE,64,45,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 188_N. 61,SABAH,P. 188,LAHAD DATU,N. 61,SEGAMA,WARISAN,7,,29840,4058,,,,,17190,,,,,,,,,,,,,,,,,,,PKR,ROMANSA LAMIN,MALE,53,3267,,WARISAN,MUHAMMAD BIN ABDUL KARIM,MALE,46,7325,,PIS,EHTISHAM UR RAHMAN BIN MHAULAHA,MALE,44,327,LOST DEPOSIT,SAPP,YVONNE YONG YIT PHUNG,FEMALE,39,2318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,ALIF AFIANDY BIN ALI,MALE,40,2195,,INDEPENDENT - PEN,DATUK MOHAMADDIN BIN KETAPI,MALE,68,1644,LOST DEPOSIT,INDEPENDENT - ELEPHANT,NORMAN BIN KASIMIN,MALE,63,114,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
