UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.16_N.2,KELANTAN,P.16,TUMPAT,N.2,SUNGAI PINANG,BN - UMNO,,13241,483,75.36,9978,288,9690,UMNO,TENGKU NOOR ASIAH BINTI TENGKU AHMED,FEMALE,,4932,,,,,,,,PAS,MUHAMED BIN ABDUL RAHMAN,MALE,,4449,,,,,,,,,,,,,,INDEPENDENT,MOHAMAD BIN SAMAT,MALE,,309,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.16_N.3,KELANTAN,P.16,TUMPAT,N.3,WAKAF BAHARU,BN - UMNO,,14548,1365,79.96,11632,345,11287,UMNO,OMAR BIN AWANG KECHIK,MALE,,6326,,,,,,,,PAS,RAMLI BIN ABU BAKAR,MALE,,4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_N.4,KELANTAN,P.17,PENGKALAN CHEPA,N.4,SEMUT API,PAS,,13375,2689,79.34,10612,245,10367,UMNO,NIK ABDUL AZIZ HAJI NIK HUSSIN,MALE,,3839,,,,,,,,PAS,WAN MAMAT BIN WAN YUSOFF,MALE,,6528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_N.5,KELANTAN,P.17,PENGKALAN CHEPA,N.5,KEMUMIN,PAS,Y,11795,,,,,,,,,,,,,,,,,,PAS,CHE HASSAN BIN CHE ISHAK,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_N.6,KELANTAN,P.17,PENGKALAN CHEPA,N.6,SERING,PAS,,11546,1464,83.37,9626,196,9430,BERJASA,AB. HAMID BIN AHMAD,MALE,,3983,,,,,,,,PAS,DAUD BIN IBRAHIM,MALE,,5447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_N.7,KELANTAN,P.18,PASIR MAS,N.7,TENDONG,BN - BERJASA,,12898,1468,80.57,10393,251,10142,BERJASA,ABD. GHANI BIN HJ. MAHMOOD,MALE,,5805,,,,,,,,PAS,HAJI ZAKARIA BIN ISMAIL,MALE,,4337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_N.8,KELANTAN,P.18,PASIR MAS,N.8,MERANTI,PAS,,11035,1937,78.85,8701,164,8537,BERJASA,HANIFA BIN AHMAD,MALE,,3300,,,,,,,,PAS,NIK MAN BIN NIK MOHAMED,MALE,,5237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_N.9,KELANTAN,P.18,PASIR MAS,N.9,BANDAR PASIR MAS,BN - UMNO,,13449,1494,73.92,9941,97,9844,UMNO,MOHD HASSAN CHE WAIL @ HASSAN BIN ISMAIL,MALE,,5669,,,,,,,,PAS,HASHIM BIN HAJI OMAR,MALE,,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19_N.10,KELANTAN,P.19,KOTA BAHARU,N.10,SUNGAI KELADI,BN - MCA,,18714,2564,73.19,13697,192,13505,MCA,FOO CHOW YONG,MALE,,7652,,DAP,KANG SAM CHUAN,,,765,LOST DEPOSIT,PAS,AB. HALIM BIN AB. RAHMAN,MALE,,5088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19_N.11,KELANTAN,P.19,KOTA BAHARU,N.11,TELIPOK,BN - UMNO,,16017,1566,74.15,11876,162,11714,UMNO,AHMAD RASTOM HAJI AHMAD MAHER,MALE,,6462,,DAP,YA'ACOB BIN ABDULLAH,MALE,,356,LOST DEPOSIT,PAS,MOHD NASSIM BIN DATO' HAJI MOHD. SALLEH,MALE,,4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19_N.12,KELANTAN,P.19,KOTA BAHARU,N.12,KUBANG KERIAN,PAS,,15507,914,77.67,12045,169,11876,BERJASA,MUHAMAD @ MOHAMAD RASIDI BIN HAJI ABDULLAH,MALE,,5481,,,,,,,,PAS,MOHD. ASRI BIN HAJI MUDA,MALE,,6395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20_N.13,KELANTAN,P.20,BACHOK,N.13,TAWANG,PAS,,13272,547,85.04,11286,265,11021,BERJASA,HASSAN BIN ABDULLAH,MALE,,5237,,,,,,,,PAS,IDRIS BIN AHMAD,MALE,,5784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
