UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PSRM,PSRM CANDIDATE,PSRM CANDIDATE SEX,PSRM CANDIDATE AGE,PSRM VOTE,PSRM CANDIDATE LOST DEPOSIT,PEKEMAS,PEKEMAS CANDIDATE,PEKEMAS CANDIDATE SEX,PEKEMAS CANDIDATE AGE,PEKEMAS VOTE,PEKEMAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,K.I.T.A,K.I.T.A CANDIDATE,K.I.T.A CANDIDATE SEX,K.I.T.A CANDIDATE AGE,K.I.T.A VOTE,K.I.T.A CANDIDATE LOST DEPOSIT,I.P.P.P,I.P.P.P. CANDIDATE,I.P.P.P. CANDIDATE SEX,I.P.P.P. CANDIDATE AGE,I.P.P.P VOTE,I.P.P.P CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.39_N.15,PULAU PINANG,P.39,NIBONG TEBAL,N.15,SUNGAI ACHEH,BN - UMNO,,9971,1709,77.8,7757,228,7529,UMNO,AHMAD BIN SALEH,MALE,,4619,,,,,,,,PEKEMAS,S. KUMAR,MALE,,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_N.16,PULAU PINANG,P.40,BALIK PULAU,N.16,TELOK BAHANG,BN - UMNO,,10149,1838,80.4,8160,286,7874,UMNO,YAHAYA B. HAJI MOHD. YUSOFF,MALE,,4068,,PSRM,OTHMAN BIN SALLEH,MALE,,2230,,PEKEMAS,ISMAIL BIN PUTEH,MALE,,159,LOST DEPOSIT,DAP,CHEW AH CHUNG,MALE,,1417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.40_N.17,PULAU PINANG,P.40,BALIK PULAU,N.17,SUNGAI NIBONG,BN - GERAKAN,,10605,3742,78.98,8376,361,8015,GERAKAN,DR. CHOONG SIM POEY,MALE,,4848,,PSRM,OSMAN BIN DIN,MALE,,1106,,PEKEMAS,SULTAN MUNSHI,MALE,,515,LOST DEPOSIT,DAP,GOH HOCK GUAN,MALE,,1072,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,TAN JIT SENG,MALE,,474,LOST DEPOSIT,,,,,,,,,,,,
P.40_N.18,PULAU PINANG,P.40,BALIK PULAU,N.18,BAYAN LEPAS,BN - UMNO,,10356,3945,82.27,8520,318,8202,UMNO,KHALID AHMAD,MALE,,5419,,PSRM,OMAR BIN OTHMAN,MALE,,760,LOST DEPOSIT,PEKEMAS,NOR RASHID BIN PIN,MALE,,260,LOST DEPOSIT,DAP,KEE YONG BAK,MALE,,1474,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,SUHAIMI BIN ISMAIL,MALE,,289,LOST DEPOSIT,,,,,,,,,,,,
P.41_N.19,PULAU PINANG,P.41,BUKIT BENDERA,N.19,TANJONG BUNGA,BN - GERAKAN,,14060,2669,78.49,11035,210,10825,GERAKAN,KHOR GAIK KIM,MALE,,6226,,PSRM,LOW KO CHIN,MALE,,418,LOST DEPOSIT,PEKEMAS,JAMES RONALD PEDLEY,MALE,,624,LOST DEPOSIT,DAP,KHOO SOO HOE,MALE,,3557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.41_N.20,PULAU PINANG,P.41,BUKIT BENDERA,N.20,AYER ITAM,BN - MCA,,14031,1005,81.41,11422,346,11076,MCA,DAVID CHOONG EWE LEONG,MALE,,5073,,PSRM,LEE YONG CHEW @ LEE LEONG SOO,MALE,,858,LOST DEPOSIT,PEKEMAS,TOOLSERAM S/O RAJARAM,MALE,,901,LOST DEPOSIT,DAP,PETER DASON,MALE,,4068,,KITA,ONG HUCK PIN,MALE,,106,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - WAU,PRITAM SINGH PANNU,MALE,,70,LOST DEPOSIT,,,,,,,,,,,,
P.41_N.21,PULAU PINANG,P.41,BUKIT BENDERA,N.21,PAYA TERUBONG,BN - GERAKAN,,12804,1094,81.08,10382,337,10045,GERAKAN,KHOO TENG CHYE,MALE,,4143,,PSRM,TAN EE HWA,MALE,,1947,,PEKEMAS,TAN KOK PING,MALE,,906,LOST DEPOSIT,DAP,LIM CHENG TEIK,MALE,,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42_N.22,PULAU PINANG,P.42,TANJONG,N.22,PADANG KOTA,BN - GERAKAN,,13177,2240,78.81,10385,297,10088,GERAKAN,DR LIM CHONG EU,MALE,,5543,,PSRM,LEE KOK LIANG,MALE,,306,LOST DEPOSIT,PEKEMAS,TAN PHOCK KIN,MALE,,936,LOST DEPOSIT,DAP,KHOO SOO GIAP,MALE,,3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42_N.23,PULAU PINANG,P.42,TANJONG,N.23,KAMPONG KOLAM,BN - GERAKAN,,14255,1179,85.29,12158,339,11819,GERAKAN,KHOO KAY POR,MALE,,5458,,PSRM,HO EWE SENG,MALE,,418,LOST DEPOSIT,PEKEMAS,WONG HOONG KEAT,MALE,,1664,,DAP,YEAP GHIM GUAN,MALE,,4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42_N.24,PULAU PINANG,P.42,TANJONG,N.24,PENGKALAN KOTA,INDEPENDENT,,13977,2936,77.38,10815,406,10409,MCA,MAH CHEOK TAT,MALE,,2770,,,,,,,,PEKEMAS,WONG HOONG YIN,MALE,,399,LOST DEPOSIT,DAP,KOAY BOON SENG,MALE,,1534,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,CHOOI YEW CHOY,MALE,,5706,,,,,,,,,,,,,
P.43_N.25,PULAU PINANG,P.43,JELUTONG,N.25,DATOK KERAMAT,BN - GERAKAN,,13334,3198,80.07,10676,387,10289,GERAKAN,TEH EWE LIM,MALE,,5826,,PSRM,ONG YU CHING,FEMALE,,260,LOST DEPOSIT,PEKEMAS,TAN SENG KEAT,MALE,,1431,,DAP,GOOI HOCK SENG,MALE,,2628,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,NG MOON LEONG,MALE,,144,LOST DEPOSIT,,,,,,,,,,,,
P.43_N.26,PULAU PINANG,P.43,JELUTONG,N.26,SUNGAI PINANG,BN - GERAKAN,,14608,1489,81.87,11960,480,11480,GERAKAN,WONG CHOONG WOH,MALE,,4686,,PSRM,TEH ANG SIANG,MALE,,511,LOST DEPOSIT,PEKEMAS,NURASHIKIN,FEMALE,42,1715,,DAP,LOH KIM HENG,MALE,,3197,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,MOHD. HAMID MERICAN,MALE,28,1371,LOST DEPOSIT,,,,,,,,,,,,
P.43_N.27,PULAU PINANG,P.43,JELUTONG,N.27,BUKIT GELUGOR,BN - GERAKAN,,14862,1016,80.2,11919,394,11525,GERAKAN,TAN GIM HWA,MALE,,5010,,PSRM,CHEW TAI SENG,MALE,,572,LOST DEPOSIT,PEKEMAS,OOI EAN KWONG,MALE,,1754,,DAP,LUM CHER WEE,MALE,,3994,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,K. T. ONG,MALE,,195,LOST DEPOSIT,,,,,,,,,,,,
P.44_N.1,PERAK,P.44,GERIK,N.1,TEMENGOR,BN - UMNO,Y,7690,,,,,,UMNO,WAN MOHAMED BIN WAN TEH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
