UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.34_N.27,TRENGGANU,P.34,KEMAMAN,N.27,BUKIT BANDI,BN - PAS,WAN YAHYA BIN HAJI WAN MOHD,MALE,,
P.34_N.28,TRENGGANU,P.34,KEMAMAN,N.28,CHUKAI,BN - UMNO,WAN MOKHTAR BIN AHMAD,MALE,42,
P.35_N.1,PULAU PINANG,P.35,KEPALA BATAS,N.1,PENAGA,BN - UMNO,HAJI HASSAN HAJI MOHD. NOH,MALE,,Y
P.35_N.2,PULAU PINANG,P.35,KEPALA BATAS,N.2,BERTAM,BN - UMNO,HAJI AHMAD BIN HAJI ABDULLAH,MALE,,Y
P.35_N.3,PULAU PINANG,P.35,KEPALA BATAS,N.3,TASEK GELUGOR,BN - UMNO,MD. NOOR BIN AHMAD,MALE,,
P.36_N.4,PULAU PINANG,P.36,MATA KUCHING,N.4,BAGAN AJAM,BN - UMNO,CHE GU IBRAHIM BIN ABDUL RAZAK,MALE,,
P.36_N.5,PULAU PINANG,P.36,MATA KUCHING,N.5,BAGAN JERMAL,PEKEMAS,ONG YI HOW,MALE,,
P.36_N.6,PULAU PINANG,P.36,MATA KUCHING,N.6,BAGAN DALAM,BN - MIC,T. SUBBIAH,MALE,,
P.37_N.7,PULAU PINANG,P.37,PERMATANG PAUH,N.7,SUNGAI DUA,BN - PAS,HAJI ZABIDI BIN HAJI ALI,MALE,,
P.37_N.8,PULAU PINANG,P.37,PERMATANG PAUH,N.8,KUBANG SEMANG,BN - UMNO,HAJI MOHAMED NOR B. HAJI BAKAR,MALE,,
P.37_N.9,PULAU PINANG,P.37,PERMATANG PAUH,N.9,PENANTI,BN - UMNO,ABDULLAH MOHAMED @ MAHMUD,MALE,,
P.38_N.10,PULAU PINANG,P.38,BUKIT MERTAJAM,N.10,BUKIT TENGAH,BN - GERAKAN,DATUK HARUN BIN SIRAT,MALE,,
P.38_N.11,PULAU PINANG,P.38,BUKIT MERTAJAM,N.11,PEKAN BUKIT MERTAJAM,DAP,OH TECK AUN,MALE,,
P.38_N.12,PULAU PINANG,P.38,BUKIT MERTAJAM,N.12,MACHANG BUBOK,BN - GERAKAN,LIM HENG TEE,MALE,,
P.39_N.13,PULAU PINANG,P.39,NIBONG TEBAL,N.13,BUKIT TAMBUN,DAP,NG SWEE CHING,MALE,,
P.39_N.14,PULAU PINANG,P.39,NIBONG TEBAL,N.14,SUNGAI BAKAP,BN - GERAKAN,S.P. CHELLIAH,MALE,,
P.39_N.15,PULAU PINANG,P.39,NIBONG TEBAL,N.15,SUNGAI ACHEH,BN - UMNO,AHMAD BIN SALEH,MALE,,
P.40_N.16,PULAU PINANG,P.40,BALIK PULAU,N.16,TELOK BAHANG,BN - UMNO,YAHAYA B. HAJI MOHD. YUSOFF,MALE,,
P.40_N.17,PULAU PINANG,P.40,BALIK PULAU,N.17,SUNGAI NIBONG,BN - GERAKAN,DR. CHOONG SIM POEY,MALE,,
P.40_N.18,PULAU PINANG,P.40,BALIK PULAU,N.18,BAYAN LEPAS,BN - UMNO,KHALID AHMAD,MALE,,
P.41_N.19,PULAU PINANG,P.41,BUKIT BENDERA,N.19,TANJONG BUNGA,BN - GERAKAN,KHOR GAIK KIM,MALE,,
P.41_N.20,PULAU PINANG,P.41,BUKIT BENDERA,N.20,AYER ITAM,BN - MCA,DAVID CHOONG EWE LEONG,MALE,,
P.41_N.21,PULAU PINANG,P.41,BUKIT BENDERA,N.21,PAYA TERUBONG,BN - GERAKAN,KHOO TENG CHYE,MALE,,
P.42_N.22,PULAU PINANG,P.42,TANJONG,N.22,PADANG KOTA,BN - GERAKAN,DR LIM CHONG EU,MALE,,
P.42_N.23,PULAU PINANG,P.42,TANJONG,N.23,KAMPONG KOLAM,BN - GERAKAN,KHOO KAY POR,MALE,,
P.42_N.24,PULAU PINANG,P.42,TANJONG,N.24,PENGKALAN KOTA,INDEPENDENT,CHOOI YEW CHOY,MALE,,
P.43_N.25,PULAU PINANG,P.43,JELUTONG,N.25,DATOK KERAMAT,BN - GERAKAN,TEH EWE LIM,MALE,,
P.43_N.26,PULAU PINANG,P.43,JELUTONG,N.26,SUNGAI PINANG,BN - GERAKAN,WONG CHOONG WOH,MALE,,
P.43_N.27,PULAU PINANG,P.43,JELUTONG,N.27,BUKIT GELUGOR,BN - GERAKAN,TAN GIM HWA,MALE,,
P.44_N.1,PERAK,P.44,GERIK,N.1,TEMENGOR,BN - UMNO,WAN MOHAMED BIN WAN TEH,MALE,,Y
P.44_N.2,PERAK,P.44,GERIK,N.2,KENERING,BN - UMNO,TAN SRI MOHAMAD GHAZALI BIN JAWI,MALE,50,
P.45_N.3,PERAK,P.45,LARUT,N.3,SELAMA,BN - UMNO,ABDUL AZIZ BIN HAJI AMAD,MALE,,
P.45_N.4,PERAK,P.45,LARUT,N.4,BATU KURAU,BN - UMNO,TAJUDIN BIN ALI,MALE,,
P.46_N.5,PERAK,P.46,PARIT BUNTAR,N.5,SIMPANG LIMA,BN - UMNO,ISMAIL ABDUL RAUF,MALE,,
P.46_N.6,PERAK,P.46,PARIT BUNTAR,N.6,KUALA KURAU,BN - UMNO,ZAKARIA JOHOR ALI,MALE,,
P.47_N.7,PERAK,P.47,BAGAN SERAI,N.7,ALOR PONGSU,BN - UMNO,MASUD BIN UNTOI,MALE,,Y
P.47_N.8,PERAK,P.47,BAGAN SERAI,N.8,GUNONG SEMANGGOL,BN - PAS,BAHARUDDIN BIN HJ. LATIF,MALE,54,Y
P.48_N.9,PERAK,P.48,SUNGAI SIPUT,N.9,LINTANG,BN - UMNO,MOHAMAED BASHIR H. M. BAHARI,MALE,,
P.48_N.10,PERAK,P.48,SUNGAI SIPUT,N.10,JALONG,DAP,NGAN SIONG HING,MALE,,
P.49_N.11,PERAK,P.49,TAIPING,N.11,KAMUNTING,BN - MCA,CHEONG KIM FOONG,MALE,37,
P.49_N.12,PERAK,P.49,TAIPING,N.12,KELIAN PAUH,DAP,LIM ENG CHUAN,MALE,,
P.50_N.13,PERAK,P.50,MATANG,N.13,CHANGKAT JERING,BN - GERAKAN,ANG CHIN WAH,MALE,47,
P.50_N.14,PERAK,P.50,MATANG,N.14,BUKIT GANTANG,BN - UMNO,AHMAD BIN MANSOR,MALE,,
P.51_N.15,PERAK,P.51,PADANG RENGAS,N.15,LENGGONG,BN - UMNO,SUDIN BIN HAJI MAT PIAH,MALE,,
P.51_N.16,PERAK,P.51,PADANG RENGAS,N.16,LUBOK MERBAU,BN - PAS,MOHAMED BIN HAJI JUNID,MALE,,
P.52_N.17,PERAK,P.52,KUALA KANGSAR,N.17,BUKIT CHANDAN,BN - UMNO,HAJI AHMAD ZAINAL,MALE,,
P.52_N.18,PERAK,P.52,KUALA KANGSAR,N.18,MANONG,BN - UMNO,SHAFIE BIN MAT SAMAN,MALE,,
P.53_N.19,PERAK,P.53,KINTA,N.19,CHEMOR,BN - PPP,YAP BOON EN,MALE,,
P.53_N.20,PERAK,P.53,KINTA,N.20,GOPENG,DAP,P. PATTO,MALE,27,
P.54_N.21,PERAK,P.54,IPOH,N.21,GUNTONG,DAP,MOHD. SALLEH BIN NAKHODA ITAM,MALE,,
P.54_N.22,PERAK,P.54,IPOH,N.22,KEPAYANG,DAP,LIM CHO HOCK,MALE,,
P.55_N.23,PERAK,P.55,MENGLEMBU,N.23,PASIR PUTEH,DAP,DAING IBRAHIM BIN OTHMAN,MALE,,
P.55_N.24,PERAK,P.55,MENGLEMBU,N.24,KUALA PARI,DAP,LIM NYIT SIN,MALE,,
P.56_N.25,PERAK,P.56,BERUAS,N.25,PENGKALAN BAHARU,BN - UMNO,ABD. MALIK BIN AHMAD,MALE,,
P.56_N.26,PERAK,P.56,BERUAS,N.26,PANTAI REMIS,DAP,YOUNG HEOW CHOO,MALE,,
P.57_N.27,PERAK,P.57,PARIT,N.27,BELANJA,BN - UMNO,HISAN BIN IBRAHIM,MALE,,
P.57_N.28,PERAK,P.57,PARIT,N.28,BOTA,BN - PAS,ABDUL LATIF BIN HAJI MAT LAPIM,MALE,,
P.58_N.29,PERAK,P.58,BATU GAJAH,N.29,TANJONG TUALANG,BN - MCA,CHEONG KAI FU,MALE,27,
P.58_N.30,PERAK,P.58,BATU GAJAH,N.30,KAMPAR,DAP,CHAN HENG WOH,MALE,,
P.59_N.31,PERAK,P.59,BATANG PADANG,N.31,TAPAH,BN - MCA,LIM YOON YOOK,MALE,,
P.59_N.32,PERAK,P.59,BATANG PADANG,N.32,CHENDERIANG,BN - UMNO,MUNAH BINTI LEBAI ABDUL RAFFAR,FEMALE,46,
P.60_N.33,PERAK,P.60,LUMUT,N.33,SITIAWAN,BN - MIC,R. SHANMUGAVELOO,MALE,,
P.60_N.34,PERAK,P.60,LUMUT,N.34,PANGKOR,DAP,PHUNG TEIK HUA,MALE,,
P.61_N.35,PERAK,P.61,HILIR PERAK,N.35,KAMPONG GAJAH,BN - UMNO,SAPIAN BIN MAT SAM,MALE,,
P.61_N.36,PERAK,P.61,HILIR PERAK,N.36,SUNGAI MANIK,BN - UMNO,MOHAMAED YUSOF B. MAIDIN,MALE,,
P.62_N.37,PERAK,P.62,TELOK ANSON,N.37,PASIR BEDAMAR,DAP,THEE AH KOW @ THEE YOU MIN,MALE,,
P.62_N.38,PERAK,P.62,TELOK ANSON,N.38,CHANGKAT JONG,BN - UMNO,DARUS BIN MOHD. SAID,MALE,,
P.63_N.39,PERAK,P.63,TANJONG MALIM,N.39,BIDOR,BN - PPP,CHIN KEE SEONG,MALE,,
P.63_N.40,PERAK,P.63,TANJONG MALIM,N.40,SLIM,BN - UMNO,R. M. IDRIS AL-HAJ,MALE,,
P.64_N.41,PERAK,P.64,BAGAN DATOK,N.41,RUNGKUP,BN - UMNO,MOHAMAD YAACOB BIN HAJI MOHAMAD,MALE,,
P.64_N.42,PERAK,P.64,BAGAN DATOK,N.42,HUTAN MELINTANG,BN - UMNO,RADZIAH BT. MARAHUDIN,FEMALE,33,
P.65_N.1,PAHANG,P.65,LIPIS,N.1,JELAI,BN - UMNO,HJ. RAMLI BIN HJ. ABD. GHANI,MALE,,Y
P.65_N.2,PAHANG,P.65,LIPIS,N.2,TANAH RATA,BN - GERAKAN,WONG LOK HOI,MALE,,Y
P.65_N.3,PAHANG,P.65,LIPIS,N.3,BUKIT BETONG,BN - UMNO,WAN ABD. RAMAN BIN WAN IBRAHIM,MALE,,Y
P.65_N.4,PAHANG,P.65,LIPIS,N.4,BANDAR LIPIS,BN - MCA,CHIN HON KIT,MALE,,
P.65_N.5,PAHANG,P.65,LIPIS,N.5,BENTA,BN - UMNO,HAJI ZAKARIA TAHAR,MALE,,
P.66_N.6,PAHANG,P.66,JERANTUT,N.6,TAHAN,BN - UMNO,HARUN BIN JAAFAR,MALE,,
P.66_N.7,PAHANG,P.66,JERANTUT,N.7,TEMBELING,BN - UMNO,ABD. RAHMAN BIN AKIL,MALE,,Y
P.66_N.8,PAHANG,P.66,JERANTUT,N.8,JENDERAK,BN - UMNO,DATUK MOHD. KHAIRUDDIN BIN MOHD. KAWI,MALE,49,
P.66_N.9,PAHANG,P.66,JERANTUT,N.9,BANDAR JERANTUT,BN - MCA,HO CHOCK KEONG,MALE,,
P.66_N.10,PAHANG,P.66,JERANTUT,N.10,KERDAU,BN - UMNO,MOHAMED SALUDIN BIN OMAR,MALE,,Y
P.67_N.11,PAHANG,P.67,KUANTAN,N.11,BESERAH,BN - UMNO,HAJI ISMAIL BIN SIABIT,MALE,,
P.67_N.12,PAHANG,P.67,KUANTAN,N.12,SUNGAI LEMBING,BN - UMNO,WAN ABDULLAH BIN WAN OSMAN,MALE,,
P.67_N.13,PAHANG,P.67,KUANTAN,N.13,BANDAR KUANTAN,BN - MCA,LIM AH LEK,MALE,,
P.68_N.14,PAHANG,P.68,RAUB,N.14,BATU TALAM,BN - UMNO,ABDUL RAHMAN BIN ISMAIL,MALE,,
P.68_N.15,PAHANG,P.68,RAUB,N.15,DONG,BN - UMNO,TENGKU MUSTAPHA BIN TENGKU SETI,MALE,,Y
P.68_N.16,PAHANG,P.68,RAUB,N.16,BANDAR RAUB,BN - MCA,DR. LOKE KWOK KHEONG,MALE,,
