UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE SEX,USNO CANDIDATE AGE,USNO VOTE,USNO CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 145_N. 31,SABAH,P. 145,TANJONG ARU,N. 31,PETAGAS,PBS,,8139,1539,74.14,6034,73,5961,BERJAYA,CLARENCE ELONG MANSUL,MALE,,1070,,USNO,QUINTIN PASUS,MALE,,1590,,PBS,JAMES A VITALES,MALE,,3129,,BERSEPADU,HARRI SIGANUL,MALE,,43,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,JOHN CHONG,MALE,,24,LOST DEPOSIT,INDEPENDENT,WILFRED MOJILIS,MALE,,105,LOST DEPOSIT
P. 146_N. 32,SABAH,P. 146,PAPAR,N. 32,KAWANG,PBS,,6402,199,81.83,5239,48,5191,BERJAYA,DATUK FRED SINIDOL,MALE,,956,,USNO,OSU HJ.SUKAM,MALE,,1923,,PBS,WENCHES BIN B. LAJINGAH,MALE,,2122,,BERSEPADU,PENGIRAN OTHMAN RAUF,MALE,,190,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 146_N. 33,SABAH,P. 146,PAPAR,N. 33,BUANG SAYANG,USNO,,9133,427,77.65,7092,136,6956,BERJAYA,MOHD SAIDI LAMPOH,MALE,,1787,,USNO,OTHMAN DATUK YASSIN,MALE,,2758,,PBS,C. SUNDANG ALEX,MALE,,2331,,BERSEPADU,JAMES GHANI,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 34,SABAH,P. 147,KIMANIS,N. 34,BONGAWAN,USNO,,7360,90,74.86,5510,110,5400,BERJAYA,ABDUL HAMID AWANG,MALE,,1044,,USNO,HJ. IBRAHIM BIN PENGIRAN DEWA @ HJ. PG. IBRAHIM BIN PG. DEWA,MALE,,2144,,PBS,GEORGE NG SHEE WAH,MALE,,2054,,BERSEPADU,OMAR BIN MUHAMMAD,MALE,,158,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 147_N. 35,SABAH,P. 147,KIMANIS,N. 35,KUALA PENYU,USNO,,6478,156,80.67,5226,92,5134,BERJAYA,NURNIKMAN BIN ABDULLAH,MALE,,1251,,USNO,JOHAN B. O.T. GHANI,MALE,,1934,,PBS,WENCES ANGANG @ JAMES,MALE,,1778,,BERSEPADU,RAKBI BIN LUKIN,MALE,,171,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 36,SABAH,P. 148,LIMBAWANG,N. 36,KLIAS,USNO,,6743,301,72.93,4918,105,4813,BERJAYA,HAJI TAUFECK HAJI ASNEH,MALE,,986,,USNO,AZIZAH BTE MOHD. DUN,FEMALE,,2024,,PBS,LAJIM BIN OKIN,MALE,,1723,,BERSEPADU,EDEH BIN HAJI ABDUL RAHMAN,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 148_N. 37,SABAH,P. 148,LIMBAWANG,N. 37,LUMADAN,USNO,,6951,1042,77.89,5414,140,5274,BERJAYA,RASHID HJ. GADOR,MALE,,1616,,USNO,DG. MAHANI BTE PG. HJ. AHMAD RAFFAE,FEMALE,,2658,,PBS,MOKTANI BIN HJ. LAWI,MALE,,796,,BERSEPADU,MOHAMMAD YASSIN B. BURAW,MALE,,120,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,SAMUN BIN HAJI RABIN,MALE,,30,LOST DEPOSIT,INDEPENDENT,MOHD. SALLEH BIN HJ. SABLI,MALE,,54,LOST DEPOSIT
P. 149_N. 38,SABAH,P. 149,PADAS,N. 38,SIPITANG,USNO,,5698,724,79.99,4558,56,4502,BERJAYA,IBRAHIM BIN HAJI AHMAD,MALE,,1456,,USNO,HJ. JAWAWI BIN HJ. ISA,MALE,,2180,,PBS,MATTHEW MARTIN AKAT,MALE,,802,,BERSEPADU,JAMLAH BTE TUAH,FEMALE,,64,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 39,SABAH,P. 149,PADAS,N. 39,TENOM,PBS,,6184,895,78.56,4858,45,4813,BERJAYA,DATUK HARRIS MOHD. SALLEH,MALE,,1727,,USNO,LEONG CHAU CHU,FEMALE,,427,LOST DEPOSIT,PBS,KADOH AGUNDONG,MALE,,2622,,BERSEPADU,ARAJAI B. MANTIAS,MALE,,37,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 149_N. 40,SABAH,P. 149,PADAS,N. 40,KEMABONG,PBS,,4831,379,78.58,3796,81,3715,BERJAYA,DOUGLAS LIND,MALE,,1484,,,,,,,,PBS,LIMUN LAIKIM,MALE,,1863,,BERSEPADU,AMIR BIN ASOK,MALE,,95,LOST DEPOSIT,PASOK,KONG KIM CHUAN @ RICHARD JOSEPH,MALE,,67,LOST DEPOSIT,,,,,,,INDEPENDENT,PETER ESANG,MALE,,206,LOST DEPOSIT,,,,,,
