UNIQUE CODE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) CANDIDATE VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT
P.106_N.37,P.106,DAMANSARA,N.37,BUKIT LANJAN,PH - PKR,64217,40233,86.79,55732,173,296,55263,GERAKAN,SYED ABDUL RAZAK,MALE,58,7515,,PKR,ELIZABETH WONG,FEMALE,48,47748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107_N.38,P.107,SUNGAI BULOH,N.38,PAYA JARAS,PH - PKR,40269,12072,87.20,35115,86,307,34722,UMNO,DATO' ZEIN ISMA,MALE,48,8304,,PKR,MOHD KHAIRUDDIN,MALE,47,20376,,PAS,HANAFI BIN ZULKAPLI,MALE,35,6042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.107_N.39,P.107,SUNGAI BULOH,N.39,KOTA DAMANSARA,PH - PKR,50438,15703,86.77,43767,131,391,43245,UMNO,HAJAH HALIMATON SAADIAH,FEMALE,62,10737,,PKR,SHATIRI MANSOR,MALE,55,26440,,PAS,SITI ROHAYA BINTI AHAD,FEMALE,49,5633,,PSM,A. SIVARAJAN,MALE,49,435,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.108_N.40,P.108,SHAH ALAM,N.40,KOTA ANGGERIK,PH - PKR,52282,17004,88.55,46296,203,279,45814,UMNO,JUMAEAH BINTI MASDI,FEMALE,46,8924,,PKR,NAJWAN HALIMI,MALE,33,26947,,PAS,USTAZ AHMAD DUSUKI,MALE,42,9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.108_N.41,P.108,SHAH ALAM,N.41,BATU TIGA,PH - PKR,55034,15616,87.12,47943,111,379,47453,UMNO,AHMAD MUA'ADZAM SHAH BIN YA'AKOP,MALE,,12022,,PKR,RODZIAH ISMAIL,FEMALE,54,27638,,PAS,HAJI ABDUL HALIM BIN OMAR,MALE,50,7793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109_N.42,P.109,KAPAR,N.42,MERU,PH - PAN,39091,9608,88.12,34448,74,430,33944,UMNO,KHAIRUL ANUAR BIN SAIMUN,MALE,,8057,,PAN,USTAZ FAKHRULRAZI MOKHTAR,MALE,,17665,,PAS,NOOR NAJHAN BIN MOHAMAD SALLEH,MALE,,7804,,PRM,MANIKAVASAGAM,MALE,53,346,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TREE,ALEX SHEE CHEE WENG,MALE,,72,LOST DEPOSIT,,,,,,
P.109_N.43,P.109,KAPAR,N.43,SEMENTA,PH - PKR,44516,5370,87.19,38815,99,536,38180,UMNO,SARONI BIN JUDI,MALE,,12497,,PKR,DR DAROYAH BINTI ALWI,FEMALE,56,17867,,PAS,WAN HASRINA BINTI WAN HASSAN,FEMALE,53,7696,,PRM,GANDHI A/P NAGAMUTHU,FEMALE,,120,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.109_N.44,P.109,KAPAR,N.44,SELAT KLANG,PH - PPBM,41376,500,83.55,34571,77,412,34082,UMNO,MOHD KHAIRI BIN HUSSIN,MALE,54,9949,,PPBM,ABDUL RASHID BIN ASARI,MALE,66,12266,,PAS,DR HALIMAH ALI,FEMALE,58,11766,,PRM,JEICHANDRAN A/L WADIVELU,MALE,,52,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,ZAINAL AZWAR BIN KAMARUDDIN,MALE,,49,LOST DEPOSIT,,,,,,
P.110_N.45,P.110,KLANG,N.45,BANDAR BARU KLANG,PH - DAP,58017,39828,87.37,50687,123,540,50024,MCA,TEOH KAH YEONG,MALE,39,5098,LOST DEPOSIT,DAP,DATO' TENG CHANG KHIM,MALE,55,44926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.110_N.46,P.110,KLANG,N.46,PELABUHAN KLANG,PH - PKR,33809,6422,85.04,28752,54,393,28305,UMNO,DATO SEIKH RAJESH BIN DATO SRI SEIKH AHMAD,MALE,,9415,,PKR,AZMIZAM ZAMAN HURI,MALE,45,15837,,PAS,KHALID BIN NAYAN,MALE,,2925,LOST DEPOSIT,PSM,SHAN @ SHANMUGAM,MALE,40,128,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
