UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.016_N.32,KEDAH,P.016,BALING,N.32,KUALA KETIL,33798,81.01,5.77,12.53,0,0.05,0.02,0.61,99.89,0.01,0.1,0,22.2,24.2,19.6,16.6,10.4,4.9,1.9,0.4,48.5,51.5,RURAL
P.017_N.33,KEDAH,P.017,PADANG SERAI,N.33,MERBAU PULAS,34498,74.94,7.87,16.75,0,0.05,0.05,0.34,99.81,0.02,0.17,0,18,23.4,22.3,18.3,11.2,4.8,1.6,0.3,47.8,52.2,SEMI URBAN
P.017_N.34,KEDAH,P.017,PADANG SERAI,N.34,LUNAS,50336,48.17,27.95,23.47,0,0.04,0.04,0.33,99.91,0.02,0.07,0,19,23.4,20.7,19.4,11.2,4.5,1.5,0.3,48.5,51.5,URBAN
P.018_N.35,KEDAH,P.018,KULIM-BANDAR BAHARU,N.35,KULIM,38572,61.94,20.49,17.2,0.01,0.06,0.07,0.22,96.01,0.02,3.97,0,17.5,24,19.7,19.1,12.4,5.2,1.7,0.5,49.1,50.9,URBAN
P.018_N.36,KEDAH,P.018,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,28015,79.15,13.74,6.92,0,0.04,0.07,0.07,99.18,0.01,0.81,0,16.4,23,20.8,18.1,12.4,6.6,2.4,0.4,49.0,51.0,RURAL
P.019_N.01,KELANTAN,P.019,TUMPAT,N.01,PENGKALAN KUBOR,27395,92.32,0.93,0.11,0,0.01,0.1,6.54,99.61,0,0.38,0,21.6,24.6,19.1,16.2,10.2,5.8,1.8,0.7,51.4,48.6,SEMI URBAN
P.019_N.02,KELANTAN,P.019,TUMPAT,N.02,KELABORAN,28498,92.52,2.06,0.31,0.01,0.03,0.04,5.03,99.07,0.01,0.93,0,22.8,25.8,18.9,15.7,9.9,4.9,1.6,0.5,50.1,49.9,SEMI URBAN
P.019_N.03,KELANTAN,P.019,TUMPAT,N.03,PASIR PEKAN,28075,98.3,1.43,0.09,0,0.02,0.01,0.15,99.93,0.05,0.03,0,24.4,26.5,18.9,14.6,9.4,4.6,1.3,0.2,48.5,51.5,URBAN
P.019_N.04,KELANTAN,P.019,TUMPAT,N.04,WAKAF BHARU,26956,88.34,8.28,0.09,0,0.01,0.03,3.25,99.83,0,0.16,0,22.6,24.5,19,16.1,10.3,5.5,1.5,0.5,49.2,50.8,SEMI URBAN
P.020_N.05,KELANTAN,P.020,PENGKALAN CHEPA,N.05,KIJANG,22173,96.88,2.53,0.04,0.03,0.1,0.13,0.09,99.88,0.03,0.09,0,22.5,26.8,20,15.1,9.5,4.5,1.2,0.3,48.9,51.1,SEMI URBAN
