UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE VOTE,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE
P.064,PERAK,P.064,IPOH TIMOR,PH - DAP,,91486,42797,78.4,71726,462,1023,70241,MCA,KATHLEEN (KAT) WONG,FEMALE,42,13722,,DAP,WONG KAH WOH,MALE,38,56519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.065,PERAK,P.065,IPOH BARAT,PH - DAP,,84874,45724,78.77,66852,472,878,65502,MCA,CHENG WEI YEE,MALE,44,9889,,DAP,M KULA,MALE,61,55613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.066,PERAK,P.066,BATU GAJAH,PH - DAP,,81399,43868,78.38,63804,284,733,62787,MCA,LEONG CHEE WAI,MALE,44,8982,,DAP,V SIVAKUMAR,MALE,48,52850,,,,,,,,,,,,,,,,,,,,,,,PSM,SEKAR,MALE,49,955,,,,,,,,,,,,,,,,,,
P.067,PERAK,P.067,KUALA KANGSAR,BN - UMNO,,36954,731,83.08,30701,134,511,30056,UMNO,DATIN MASTURA YAZID,FEMALE,57,12102,,PAN,DR AHMAD TERMIZI RAMLI,MALE,64,11371,,PAS,DRS KHALIL IDHAM LIM,MALE,54,6583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.068,PERAK,P.068,BERUAS,PH - DAP,,79794,27954,77.22,61617,341,1009,60267,GERAKAN,PANG CHOK KING,MALE,54,13277,,DAP,DATO’ NGEH KOO HAM,MALE,57,41231,,PAS,HJ MOHAMAD NAZEER HAMEED,MALE,61,5759,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.069,PERAK,P.069,PARIT,BN - UMNO,,35910,6320,82.28,29547,132,425,28990,UMNO,USTAZ NIZAR,MALE,49,14035,,PAN,TARMIZI MOHD JAM,MALE,49,7240,,PAS,DR NAJIHA AHMAD,FEMALE,52,7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.070,PERAK,P.070,KAMPAR,PH - DAP,,69436,11801,77.15,53567,214,858,52495,MCA,LEE CHEE LEONG,MALE,61,18415,,DAP,SU KEONG SEONG,MALE,52,30216,,PAS,YOUGAN,MALE,31,3864,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.071,PERAK,P.071,GOPENG,PH - PKR,,99167,29778,81.21,80532,446,853,79233,MCA,HENG SEAI KIE,FEMALE,56,19145,,PKR,DR LEE BOON CHYE,MALE,59,48923,,PAS,ISMAIL BIN ARIFFIN,MALE,57,11165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.072,PERAK,P.072,TAPAH,BN - MIC,,47128,614,78.75,37113,179,760,36174,MIC,DATUK SERI M SARAVANAN,MALE,50,16086,,PPBM,MOHAMED AZNI,MALE,62,15472,,PAS,USTAZ NORAZLI BIN MUSA,MALE,51,4616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.073,PERAK,P.073,PASIR SALAK,BN - UMNO,,54671,7712,81.41,44508,168,895,43445,UMNO,DATO SRI TAJUDDIN ABDUL RAHMAN,MALE,70,20003,,PPBM,DR SALIHUDDIN,MALE,59,12291,,PAS,USTAZ ZAFARUL AZHAN,MALE,38,11151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.074,PERAK,P.074,LUMUT,PH - PAN,,67157,400,81.96,55042,316,1081,53645,UMNO,DATO’ SERI DIRAJA DR ZAMBRY ABD KADIR,MALE,56,21555,,PAN,DR HATTA RAMLI,MALE,62,21955,,PAS,ZAMRI IBRAHIM,MALE,44,10135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.075,PERAK,P.075,BAGAN DATUK,BN - UMNO,,47309,5073,79.89,37796,176,814,36806,UMNO,AHMAD ZAHID BIN HAMIDI,MALE,65,18909,,PKR,PAKHRURRAZI HJ ARSHAD,MALE,65,13836,,PAS,ATA ABDUL MUNEIM DATO’ HASAN ADLI,MALE,60,4061,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.076,PERAK,P.076,TELUK INTAN,PH - DAP,,66487,11179,82.12,54601,204,742,53655,GERAKAN,MAH SIEW KEONG,MALE,56,17991,,DAP,NGA KOR MING,MALE,46,29170,,PAS,DR AHMAD RAMDZAN,MALE,62,6494,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.077,PERAK,P.077,TANJONG MALIM,PH - PKR,,68468,5358,81.22,55613,265,1051,54297,MCA,DR MAH HANG SOON,MALE,53,19314,,PKR,CHANG LIH KANG,MALE,37,24672,,PAS,USTAZ MOHD TARMIZI,MALE,53,10311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.078,PAHANG,P.078,CAMERON HIGHLANDS,BN - MIC,,32048,597,79.03,25326,171,790,24365,MIC,DATO' SIVARRAAJH CHANDRAN,MALE,42,10307,,DAP,MANOGARAN,MALE,59,9710,,PAS,CIKGU WAN MAHADIR,MALE,46,3587,,,,,,,,,,,,,,,,,PSM,SURESH KUMAR,MALE,42,680,BERJASA,USTAZ TAHIR,MALE,,81,,,,,,,,,,,,,
P.079,PAHANG,P.079,LIPIS,BN - UMNO,,35294,6569,81.22,28666,112,462,28092,UMNO,ABDUL RAHMAN BIN MOHAMAD,MALE,54,13995,,PPBM,DATO BADARUDIN ABD RAHAMAN,MALE,65,7426,,PAS,CIKGU HJ SOBIRIN BIN HJ DULI,MALE,68,6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.080,PAHANG,P.080,RAUB,PH - DAP,,57723,3159,81.37,46971,180,766,46025,MCA,CHEW MEI FUN,FEMALE,54,17500,,DAP,TENGKU ZULPURI SHAH,MALE,54,20659,,PAS,DR MOHAMED NILAM,MALE,,7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.081,PAHANG,P.081,JERANTUT,BN - UMNO,,63609,5908,80.83,51414,224,941,50249,UMNO,DATO' AHMAD NAZLAN,MALE,60,22640,,PPBM,WAN MOHD SHAHRIR,MALE,37,10877,,PAS,USTAZ YOHANIS AHMAD,MALE,40,16732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.082,PAHANG,P.082,INDERA MAHKOTA,PH - PKR,,77208,10950,83.69,64612,269,622,63721,UMNO,DATO' DR JOHAN BIN MAT SAH,MALE,56,17628,,PKR,DATO' SAIFUDDIN ABDULLAH,MALE,57,28578,,PAS,USTAZ NASRUDIN HASSAN TANTAWI,MALE,48,17515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.083,PAHANG,P.083,KUANTAN,PH - PKR,,62696,8111,83.21,52167,199,798,51170,MCA,DATO' WONG KEAN HWEE,MALE,57,13667,,PKR,FUZIAH SALLEH,FEMALE,59,22807,,PAS,CIKGU SULAIMAN MD DERUS,MALE,,14696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.084,PAHANG,P.084,PAYA BESAR,BN - UMNO,,55135,5742,81.51,44942,171,671,44100,UMNO,MOHD SHAHAR BIN ABDULLAH,MALE,38,19033,,PPBM,MOHD ASHRAF MUSTAQIM,MALE,32,11776,,PAS,MOHAMAD AZHAR BIN MOHD NOOR,MALE,66,13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.085,PAHANG,P.085,PEKAN,BN - UMNO,,88899,24859,81.34,72308,301,1393,70614,UMNO,DATO' SRI MOHD NAJIB BIN TUN ABD RAZAK,MALE,65,43854,,PPBM,MUHD ZAHID MD ARIP,MALE,52,7662,LOST DEPOSIT,PAS,KAPT (B) AHIATUDIN BIN DAUD,MALE,63,18995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,ABD KADIR BIN SAINUDIN,MALE,,103,,,,,
P.086,PAHANG,P.086,MARAN,BN - UMNO,,41036,3763,81.3,33363,156,482,32725,UMNO,DATO' SRI DR HJ ISMAIL BIN HJ ABD MUTTALIB,MALE,64,16064,,PPBM,AHMAD FARID BIN AHMAD NORDIN,MALE,,4360,,PAS,CIKGU HASENAN HARON,MALE,,12301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.087,PAHANG,P.087,KUALA KRAU,BN - UMNO,,47264,2876,82.73,39102,178,613,38311,UMNO,DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,MALE,53,18058,,PPBM,MOHAMAD RAFIDEE,MALE,45,5071,,PAS,USTAZ HAJI KAMAL BIN ASHAARI,MALE,48,15182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.088,PAHANG,P.088,TEMERLOH,PH - PAN,,75081,1904,82.85,62204,289,865,61050,UMNO,DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,MALE,56,22094,,PAN,HJ ANUAR TAHIR,MALE,66,23998,,PAS,HAJI MD JUSOH BIN DARUS,MALE,62,14734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,KHAIDIR AHMAD,MALE,56,178,INDEPENDENT - BOOK,MUHD FAKHRUDIN B ABU HANIPAH,MALE,,46
P.089,PAHANG,P.089,BENTONG,PH - DAP,,67359,2032,83.39,56173,284,783,55106,MCA,DATO' SRI LIOW TIONG LAI,MALE,57,23684,,DAP,WONG TACK,MALE,59,25716,,PAS,BALASUBRAMANIAM A/L NACHIAPPAN,MALE,,5706,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.090,PAHANG,P.090,BERA,BN - UMNO,,58711,2311,82.33,48339,267,767,47305,UMNO,ISMAIL SABRI YAAKOB,MALE,58,20760,,PKR,ZAKARIA ABDUL HAMID,MALE,,18449,,PAS,MUSANIFF BIN AB. RAHMAN,MALE,,8096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.091,PAHANG,P.091,ROMPIN,BN - UMNO,,61918,11395,82.21,50905,251,917,49737,UMNO,DATO' SRI HASAN BIN ARIFIN,MALE,65,26628,,PKR,SITARUNISAH BINTI AB KADIR,FEMALE,,7876,,PAS,USTAZ SHAHRUL,MALE,39,15233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.092,SELANGOR,P.092,SABAK BERNAM,BN - UMNO,,40863,1674,83.26,34023,108,565,33350,UMNO,DATO' FASIAH,MALE,62,12862,,PPBM,WARNO BIN DOGOL,MALE,56,11188,,PAS,USTAZ MUHAMMAD LABIB BIN ABD JALIL,MALE,,9300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.093,SELANGOR,P.093,SUNGAI BESAR,PH - PPBM,,48739,714,85.92,41878,108,564,41206,UMNO,BUDIMAN BIN MOHD ZOHDI,MALE,46,16636,,PPBM,CIKGU MUSLIMIN,MALE,51,17350,,PAS,CIKGU HAJI SALLEH HUSIN,MALE,,7220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.094,SELANGOR,P.094,HULU SELANGOR,PH - PKR,,100990,13391,85.95,86798,267,1310,85221,MIC,P.KAMALANATHAN,MALE,53,27392,,PKR,JUNE LEOW,FEMALE,54,40783,,PAS,DR WAN MAT,MALE,,16620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,KUMAR A/L S. PARAMASIVAM,MALE,49,426,,,,,
P.095,SELANGOR,P.095,TANJONG KARANG,BN - UMNO,,47198,1970,87.26,41184,155,531,40498,UMNO,TAN SRI NOH BIN HAJI OMAR,MALE,60,17596,,PPBM,KAPT(B) DATO DR ZULKAFPERI,MALE,59,15626,,PAS,NOR AZ AZLAN BIN AHMAD,MALE,,7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.096,SELANGOR,P.096,KUALA SELANGOR,PH - PAN,,69397,8498,87.67,60843,126,996,59721,UMNO,IRMOHIZAM,MALE,,21344,,PAN,DR HJ DZULKEFLY AHMAD,MALE,62,29842,,PAS,HAJI FAKARUDDIN,MALE,46,8535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.097,SELANGOR,P.097,SELAYANG,PH - PKR,,116176,40657,85.6,99450,495,953,98002,MCA,KANG MENG FUAT,MALE,36,19501,,PKR,WILLIAM LEONG JEE KEEN,MALE,61,60158,,PAS,BRIG. GEN HASHIM KARIM,MALE,,18343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.098,SELANGOR,P.098,GOMBAK,PH - PKR,,141112,48721,85.43,120548,573,933,119042,UMNO,DATUK ABDUL RAHIM KAMARUDIN,MALE,64,26392,,PKR,DATO' SERI AZMIN ALI,MALE,54,75113,,PAS,Ir. KHAIRIL NIZAM,MALE,39,17537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.099,SELANGOR,P.099,AMPANG,PH - PKR,,91737,41956,84.52,77539,381,608,76550,MCA,LEONG KIM SOON,MALE,41,12351,,PKR,ZURAIDA KAMARUDDIN,FEMALE,60,54307,,PAS,NURUL ISLAM BIN MOHAMED YUSOFF,MALE,35,9598,,,,,,,,,,,,,,,,,PRM,TAN HUA MENG,MALE,61,294,,,,,,,,,,,,,,,,,,
P.100,SELANGOR,P.100,PANDAN,PH - PKR,,101319,52543,85.39,86514,223,517,85774,MCA,LEONG KOK WEE,MALE,50,12190,,PKR,DR WAN AZIZAH,FEMALE,66,64733,,PAS,USTAZ SUKRI OMAR,MALE,,8336,LOST DEPOSIT,,,,,,,,,,,,,,,,PRM,JENICE LEE YING HA,FEMALE,38,442,,,,,,,,,INDEPENDENT - HOUSE,MOHD KHAIRUL AZAM BIN ABDUL AZIZ,MALE,,73,,,,,
P.101,SELANGOR,P.101,HULU LANGAT,PH - PAN,,102363,25424,87.51,89577,401,929,88247,UMNO,AZMAN BIN AHMAD,MALE,,23580,,PAN,USTAZ HASANUDDIN MOHD YUNUS,MALE,54,49004,,PAS,DR CHE ROSLI CHE MAT,MALE,67,15663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.102,SELANGOR,P.102,BANGI,PH - DAP,,178790,68768,88.33,157933,492,1114,156327,MCA,LIEW YUEN KEONG,MALE,58,19766,,DAP,DR. ONG KIAN MING,MALE,43,102557,,PAS,USTAZ SHAFIE NGAH,MALE,52,33789,,,,,,,,,,,,,,,,,PRM,DENNIS WAN,MALE,,215,,,,,,,,,,,,,,,,,,
P.103,SELANGOR,P.103,PUCHONG,PH - DAP,,96437,47635,87.47,84357,212,667,83478,GERAKAN,ANG CHIN TAT,MALE,,12794,,DAP,GOBIND SINGH DEO,MALE,45,60429,,PAS,MOHAMAD ROSHARIZAN,MALE,45,10255,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.104,SELANGOR,P.104,SUBANG,PH - PKR,,146422,92353,86.66,126883,568,610,125705,MCA,IR. TAN SEONG LIM,MALE,52,12077,LOST DEPOSIT,PKR,WONG CHEN,MALE,49,104430,,IKATAN,SHAHIR ADNAN,MALE,34,9025,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,TOH SIN WAH,MALE,55,173,,,,,
P.105,SELANGOR,P.105,PETALING JAYA,PH - PKR,,140920,57137,82.74,116597,350,968,115279,MCA,CHEW HIAN TAT,MALE,44,21847,,PKR,MARIA CHIN ABDULLAH,FEMALE,62,78984,,PAS,NORAINI BINTI HUSSIN,FEMALE,53,14448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.106,SELANGOR,P.106,DAMANSARA,PH - DAP,,164322,106903,83.76,137639,492,867,136280,MCA,RYAN HO KWOK XHENG,MALE,30,14380,LOST DEPOSIT,DAP,TONY PUA,MALE,46,121283,,,,,,,,,,,,,,,,,,,,,,,PRM,DATO' WONG MUN KHEONG,MALE,45,617,,,,,,,,,,,,,,,,,,
P.107,SELANGOR,P.107,SUNGAI BULOH,PH - PKR,,90707,26634,86.95,78874,237,686,77951,MIC,A. PRAKASH RAO,MALE,58,16681,,PKR,SIVARASA RASIAH,MALE,62,43631,,PAS,USTAZAH NURIDAH,FEMALE,57,16997,,,,,,,,,,,,,,,,,PSM,ZAINURIZZAMAN BIN MOHARAM,MALE,38,642,,,,,,,,,,,,,,,,,,
P.108,SELANGOR,P.108,SHAH ALAM,PH - PAN,,107316,33849,87.82,94241,334,664,93243,UMNO,HAJI AZHARI SHAARI,MALE,48,22100,,PAN,KHALID ABD SAMAD,MALE,61,55949,,PAS,DR MOHD ZUHDI BIN MARSUKI,MALE,,15194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.109,SELANGOR,P.109,KAPAR,PH - PKR,,124983,16306,86.27,107829,239,1497,106093,MIC,MOHANA MUNIANDY,FEMALE,42,26412,,PKR,ABDULLAH SANI,MALE,56,47731,,PAS,DR. HJ. ABD RANI BIN OSMAN,MALE,60,31425,,,,,,,,,,,,,,,,,PRM,MANIKAVASAGAM,MALE,53,525,,,,,,,,,,,,,,,,,,
P.110,SELANGOR,P.110,KLANG,PH - DAP,,149348,78773,86.06,128536,258,1204,127074,MCA,DATO' CHING EU BOON,MALE,51,19506,,DAP,CHARLES SANTIAGO,MALE,58,98279,,PAS,KHAIRUL SHAH KOTTAPPAN,MALE,56,9169,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,PUVANANDERAN A/L GANASAMOORTHY,MALE,,120,,,,,
P.111,SELANGOR,P.111,KOTA RAJA,PH - PAN,,149021,71142,86.84,129412,320,966,128126,MIC,V. GUNALAN,MALE,45,17874,,PAN,MOHAMAD SABU,MALE,64,90697,,PAS,HJ. MOHAMED DIAH BAHARUN,MALE,43,19555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.112,SELANGOR,P.112,KUALA LANGAT,PH - PKR,,102406,17112,87.34,89437,209,1131,88097,UMNO,SHAHRIL HAMDAN,MALE,33,26127,,PKR,DR XAVIER JAYAKUMAR,MALE,65,43239,,PAS,DATUK DR. YAHYA BABA,MALE,64,18731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.113,SELANGOR,P.113,SEPANG,PH - PAN,,104508,18705,88.11,92087,347,1083,90657,UMNO,DATO' HAJI MARSUM BIN PAING,MALE,63,28035,,PAN,MOHAMED HANIPA BIN MAIDIN,MALE,49,46740,,PAS,SABIRIN MARSONO,MALE,51,15882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.114,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,PH - DAP,,72696,51628,85.03,61812,85,323,61404,GERAKAN,ONG SIANG LIANG,MALE,48,4888,LOST DEPOSIT,DAP,LIM LIP ENG,MALE,46,56516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.115,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,INDEPENDENT,,76328,24438,83.32,63600,297,498,62805,GERAKAN,DR. DOMINIC LAU HOE CHAI,MALE,51,13687,,,,,,,,PAS,AZHAR YAHYA,MALE,43,10610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ELEPHANT,DATUK V M PANJAMOTHY,MALE,62,383,INDEPENDENT - KEY,PRABAKARAN,MALE,22,38125
P.116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,PH - PKR,,88482,24238,84.21,74509,376,525,73608,MCA,YEW TEONG LOOK,MALE,62,17940,,PKR,DR. TAN YEE KEW,FEMALE,65,42178,,PAS,HAJI RAZALI BIN TUMIRIN,MALE,56,13490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,PH - DAP,,77956,45702,83.72,65265,249,289,64727,myPPP,LOGA BALA MOHAN,MALE,52,7422,LOST DEPOSIT,DAP,HANNAH YEOH,FEMALE,39,53124,,PAS,SOLLEH RAZAK,MALE,,4181,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,PH - PKR,,72136,14372,85.79,61884,339,693,60852,UMNO,ZULHASNAN BIN RAFIQUE,MALE,64,20099,,PKR,NIK NAZMI BIN NIK AHMAD,MALE,36,34471,,PAS,USTAZ UBAID BIN HAJI ABD AKLA,MALE,,6282,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,PH - PPBM,,61598,4139,82.56,50858,149,323,50386,UMNO,DATUK SERI JOHARI GHANI,MALE,54,19701,,PPBM,RINA MOHD HARUN,FEMALE,45,23840,,PAS,HAJI MOHAMAD NOOR MOHAMAD,MALE,,6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,PH - DAP,,69526,37260,75.89,52765,103,254,52408,MCA,ANN TAN EAN EAN,FEMALE,46,7256,,DAP,FONG KUI LUN,MALE,72,44516,,,,,,,,,,,,,,,,,,,,,,,PFP,KHAIRUL,MALE,42,636,,,,,,,,,,,,,,,,,,
P.121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,PH - PKR,,80346,5598,83.46,67059,216,538,66305,UMNO,RAJA NONG CHIK,MALE,65,27715,,PKR,FAHMI FADZIL,MALE,37,33313,,PAS,FAUZI BIN ABU BAKAR,MALE,58,5277,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,PH - DAP,,86256,56059,81.83,70583,160,294,70129,MCA,CHAN QUIN ER,FEMALE,31,7035,LOST DEPOSIT,DAP,TERESA KOK,FEMALE,54,63094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,PH - DAP,,78819,49665,81.29,64074,122,275,63677,MCA,HENG SINN YEE,FEMALE,39,7006,LOST DEPOSIT,DAP,TAN KOK WAI,MALE,61,56671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,PH - PKR,,83650,19930,85.09,71180,530,444,70206,UMNO,ADNAN BIN SEMAN,MALE,42,21196,,PKR,DATO' KAMARUDIN JAFFAR,MALE,67,41126,,PAS,DR. ROSNI ADAM,FEMALE,48,7884,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.125,WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,BN - UMNO,,27306,3372,91.12,24881,177,146,24558,UMNO,TENGKU ADNAN BIN TENGKU MANSOR,MALE,68,12148,,PPBM,SAMSU ADABI BIN MAMAT,MALE,49,8776,,PAS,HJ ZAINAL ABIDIN KIDAM,MALE,68,3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.126,NEGERI SEMBILAN,P.126,JELEBU,BN - UMNO,,48522,2045,81.89,39733,190,586,38957,UMNO,JALALUDDIN BIN ALIAS,MALE,55,19062,,PAN,IR MUSTAFAR KADIR,MALE,65,17017,,PAS,NORMAN IPIN,MALE,47,2878,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.127,NEGERI SEMBILAN,P.127,JEMPOL,BN - UMNO,,72122,1631,81.14,58523,224,1025,57274,UMNO,DATO' HJ SALIM SHARIF,MALE,53,26819,,PPBM,KAMARULZAMAN KAMDIAS,MALE,,25188,,PAS,MUSTAFFA BIN DAHARUN,MALE,60,5267,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.128,NEGERI SEMBILAN,P.128,SEREMBAN,PH - DAP,,110168,30694,84.65,93254,384,1052,91818,MCA,AH CHONG @ CHONG SIN WOON,MALE,44,24809,,DAP,LOKE SIEW FOOK,MALE,42,55503,,PAS,HAJI SHARIFFUDDIN,MALE,56,11506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.129,NEGERI SEMBILAN,P.129,KUALA PILAH,PH - PPBM,,49801,200,82.64,41156,150,769,40237,UMNO,HASAN BIN MALEK,MALE,72,17845,,PPBM,EDDIN SYAZLEE SHITH,MALE,44,18045,,PAS,HAJI RAFIEI,MALE,65,4347,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.130,NEGERI SEMBILAN,P.130,RASAH,PH - DAP,,102838,46867,84.26,86655,303,1045,85307,MCA,NG KIAN NAM,MALE,39,14939,,DAP,CHA KEE CHIN,MALE,44,61806,,PAS,USTAZ KHAIRIL ANUAR WAFA,MALE,41,8260,LOST DEPOSIT,,,,,,,,,,,,,,,,PAP,DAVID DASS ASEERPATHAM,MALE,,302,,,,,,,,,,,,,,,,,,
