UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),UNIQUE CODE (1962),PARLIAMENTARY CONSTITUENCY CODE (1962),PARLIAMENTARY CONSTITUENCY NAME (1962),STATE CONSTITUENCY CODE (1962),STATE CONSTITUENCY NAME (1962),DUN NAME CHANGE (1962),NOTES
P.49_NO. 11,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 11,LUKUT,P.82_S.13,P.82,PORT DICKSON,S.13,LUKUT,,
P.49_NO. 12,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 12,SI-RUSA,P.82_S.14,P.82,PORT DICKSON,S.14,SI-RUSA,,
P.49_NO. 13,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 13,PASIR PANJANG,P.82_S.15,P.82,PORT DICKSON,S.15,PASIR PANJANG,,
P.49_NO. 14,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 14,LINGGI,P.82_S.16,P.82,PORT DICKSON,S.16,LINGGI,,
P.50_NO. 15,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 15,TERENTANG,P.81_S.8,P.81,REMBAU-TAMPIN,S.8,TERENTANG,,
P.50_NO. 16,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 16,KOTA,P.81_S.9,P.81,REMBAU-TAMPIN,S.9,KOTA,,
P.50_NO. 17,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 17,TAMPIN,P.81_S.10,P.81,REMBAU-TAMPIN,S.10,TAMPIN,,
P.50_NO. 18,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 18,GEMAS,P.81_S.11,P.81,REMBAU-TAMPIN,S.11,GEMAS,,
P.51_NO. 19,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 19,LENGGENG,P.84_S.22,P.84,SEREMBAN BARAT,S.22,LENGGENG,,
P.51_NO. 20,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 20,LABU,P.84_S.23,P.84,SEREMBAN BARAT,S.23,LABU,,
P.51_NO. 21,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 21,BUKIT NANAS,P.84_S.24,P.84,SEREMBAN BARAT,S.24,BUKIT NANAS,,
P.52_NO. 22,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 22,RANTAU,P.80_S.5,P.80,SEREMBAN TIMOR,S.5,RANTAU,,
P.52_NO. 23,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 23,SUNGEI UJONG,P.80_S.6,P.80,SEREMBAN TIMOR,S.6,SUNGEI UJONG,,
P.52_NO. 24,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 24,RAHANG,P.80_S.7,P.80,SEREMBAN TIMOR,S.7,RAHANG,,
P.53_NO. 1,PAHANG,P.53,LIPIS,NO. 1,JELAI,P.64_S.21,P.64,LIPIS,S.21,JELAI,,
P.53_NO. 2,PAHANG,P.53,LIPIS,NO. 2,KUALA LIPIS,P.64_S.22,P.64,LIPIS,S.22,KUALA LIPIS,,
P.53_NO. 3,PAHANG,P.53,LIPIS,NO. 3,TANJONG BESAR,P.64_S.23,P.64,LIPIS,S.23,TANJONG BESAR,,
P.53_NO. 4,PAHANG,P.53,LIPIS,NO. 4,JERANTUT,P.64_S.24,P.64,LIPIS,S.24,JERANTUT,,
P.54_NO. 5,PAHANG,P.54,RAUB,NO. 5,CAMERON HIGHLANDS,P.59_S.1,P.59,RAUB,S.1,CAMERON HIGHLANDS,,
P.54_NO. 6,PAHANG,P.54,RAUB,NO. 6,DONG,P.59_S.2,P.59,RAUB,S.2,DONG,,
P.54_NO. 7,PAHANG,P.54,RAUB,NO. 7,BANDAR RAUB,P.59_S.3,P.59,RAUB,S.3,BANDAR RAUB,,
P.54_NO. 8,PAHANG,P.54,RAUB,NO. 8,TRAS,P.59_S.4,P.59,RAUB,S.4,TRAS,,
P.55_NO. 9,PAHANG,P.55,BENTONG,NO. 9,SABAI,P.60_S.5,P.60,BENTONG,S.5,SABAI,,
P.55_NO. 10,PAHANG,P.55,BENTONG,NO. 10,BANDAR BENTONG,P.60_S.6,P.60,BENTONG,S.6,BANDAR BENTONG,,
P.55_NO. 11,PAHANG,P.55,BENTONG,NO. 11,BENUS,P.60_S.7,P.60,BENTONG,S.7,BENUS,,
P.55_NO. 12,PAHANG,P.55,BENTONG,NO. 12,MENTAKAB,P.60_S.8,P.60,BENTONG,S.8,MENTAKAB,,
P.56_NO. 13,PAHANG,P.56,TEMERLOH,NO. 13,CHENOR,P.63_S.16,P.63,TEMERLOH,S.16,CHENOR,,
P.56_NO. 14,PAHANG,P.56,TEMERLOH,NO. 14,TRIANG,P.63_S.17,P.63,TEMERLOH,S.17,TRIANG,,
P.56_NO. 15,PAHANG,P.56,TEMERLOH,NO. 15,KUALA SEMANTAN,P.63_S.18,P.63,TEMERLOH,S.18,KUALA SEMANTAN,,
P.56_NO. 16,PAHANG,P.56,TEMERLOH,NO. 16,JENDERAK,P.63_S.19,P.63,TEMERLOH,S.19,JENDERAK,,
P.56_NO. 17,PAHANG,P.56,TEMERLOH,NO. 17,SANGGANG,P.63_S.20,P.63,TEMERLOH,S.20,SANGGANG,,
P.57_NO. 18,PAHANG,P.57,KUANTAN,NO. 18,TANAH PUTEH,P.61_S.9,P.61,KUANTAN,S.9,TANAH PUTEH,,
P.57_NO. 19,PAHANG,P.57,KUANTAN,NO. 19,TELOK SISEK,P.61_S.10,P.61,KUANTAN,S.10,TELOK SISEK,,
P.57_NO. 20,PAHANG,P.57,KUANTAN,NO. 20,BESERAH,P.61_S.11,P.61,KUANTAN,S.11,BESERAH,,
P.57_NO. 21,PAHANG,P.57,KUANTAN,NO. 21,ULU KUANTAN,P.61_S.12,P.61,KUANTAN,S.12,ULU KUANTAN,,
P.58_NO. 22,PAHANG,P.58,PEKAN,NO. 22,KUALA PAHANG,P.62_S.13,P.62,PEKAN,S.13,KUALA PAHANG,,
P.58_NO. 23,PAHANG,P.58,PEKAN,NO. 23,PAHANG TUA,P.62_S.14,P.62,PEKAN,S.14,PAHANG TUA,,
P.58_NO. 24,PAHANG,P.58,PEKAN,NO. 24,ROMPIN,P.62_S.15,P.62,PEKAN,S.15,ROMPIN,,
P.59_NO. 1,JOHORE,P.59,JOHORE TIMOR,NO. 1,ENDAU,P.102_S.27,P.102,JOHORE TIMOR,S.27,ENDAU,,
P.59_NO. 2,JOHORE,P.59,JOHORE TIMOR,NO. 2,MERSING,P.102_S.28,P.102,JOHORE TIMOR,S.28,MERSING,,
P.60_NO. 3,JOHORE,P.60,JOHORE TENGGARA,NO. 3,KOTA TINGGI,P.96_S.15,P.96,JOHORE TENGGARA,S.15,KOTA TINGGI,,
P.60_NO. 4,JOHORE,P.60,JOHORE TENGGARA,NO. 4,JOHORE LAMA,P.96_S.16,P.96,JOHORE TENGGARA,S.16,JOHORE LAMA,,
