UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,AREA (SQ KM),NOTES
P. 73_S. 18,SELANGOR,P. 73,DAMANSARA,S. 18,BUKIT RAJA,189.03,Computed using Tindak Malaysia's electoral boundary files
P. 74_S. 19,SELANGOR,P. 74,KLANG,S. 19,PORT SWETTENHAM,404.53,Computed using Tindak Malaysia's electoral boundary files
P. 74_S. 20,SELANGOR,P. 74,KLANG,S. 20,KAMPONG JAWA,175.08,Computed using Tindak Malaysia's electoral boundary files
P. 75_S. 21,SELANGOR,P. 75,KUALA LANGAT,S. 21,TELOK DATOH,309.90,Computed using Tindak Malaysia's electoral boundary files
P. 75_S. 22,SELANGOR,P. 75,KUALA LANGAT,S. 22,MORIB,212.12,Computed using Tindak Malaysia's electoral boundary files
P. 76_S. 23,SELANGOR,P. 76,SEPANG,S. 23,DENGKIL,455.65,Computed using Tindak Malaysia's electoral boundary files
P. 76_S. 24,SELANGOR,P. 76,SEPANG,S. 24,SUNGEI RAWANG,345.59,Computed using Tindak Malaysia's electoral boundary files
P. 77_S. 25,SELANGOR,P. 77,SABAK BERNAM,S. 25,SABAK,255.05,Computed using Tindak Malaysia's electoral boundary files
P. 77_S. 26,SELANGOR,P. 77,SABAK BERNAM,S. 26,SUNGEI BESAR,482.05,Computed using Tindak Malaysia's electoral boundary files
P. 78_S. 27,SELANGOR,P. 78,ULU SELANGOR,S. 27,ULU BERNAM,944.36,Computed using Tindak Malaysia's electoral boundary files
P. 78_S. 28,SELANGOR,P. 78,ULU SELANGOR,S. 28,KUALA KUBU,613.99,Computed using Tindak Malaysia's electoral boundary files
P. 79_S. 1,NEGRI SEMBILAN,P. 79,KUALA PILAH,S. 1,SRI MENANTI,312.80,Computed using Tindak Malaysia's electoral boundary files
P. 79_S. 2,NEGRI SEMBILAN,P. 79,KUALA PILAH,S. 2,JOHOL,326.78,Computed using Tindak Malaysia's electoral boundary files
P. 79_S. 3,NEGRI SEMBILAN,P. 79,KUALA PILAH,S. 3,ULU MUAR,206.31,Computed using Tindak Malaysia's electoral boundary files
P. 79_S. 4,NEGRI SEMBILAN,P. 79,KUALA PILAH,S. 4,PILAH,38.87,Computed using Tindak Malaysia's electoral boundary files
P. 80_S. 5,NEGRI SEMBILAN,P. 80,SEREMBAN TIMOR,S. 5,RANTAU,163.07,Computed using Tindak Malaysia's electoral boundary files
P. 80_S. 6,NEGRI SEMBILAN,P. 80,SEREMBAN TIMOR,S. 6,SUNGEI UJONG,207.44,Computed using Tindak Malaysia's electoral boundary files
P. 80_S. 7,NEGRI SEMBILAN,P. 80,SEREMBAN TIMOR,S. 7,RAHANG,7.49,Computed using Tindak Malaysia's electoral boundary files
P. 81_S. 8,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,S. 8,TERENTANG,153.71,Computed using Tindak Malaysia's electoral boundary files
P. 81_S. 9,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,S. 9,KOTA,139.33,Computed using Tindak Malaysia's electoral boundary files
P. 81_S. 10,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,S. 10,TAMPIN,344.13,Computed using Tindak Malaysia's electoral boundary files
P. 81_S. 11,NEGRI SEMBILAN,P. 81,REMBAU - TAMPIN,S. 11,GEMAS,491.33,Computed using Tindak Malaysia's electoral boundary files
P. 82_S. 12,NEGRI SEMBILAN,P. 82,PORT DICKSON,S. 12,JIMAH,167.68,Computed using Tindak Malaysia's electoral boundary files
P. 82_S. 13,NEGRI SEMBILAN,P. 82,PORT DICKSON,S. 13,LUKUT,76.12,Computed using Tindak Malaysia's electoral boundary files
P. 82_S. 14,NEGRI SEMBILAN,P. 82,PORT DICKSON,S. 14,SI - RUSA,86.09,Computed using Tindak Malaysia's electoral boundary files
P. 82_S. 15,NEGRI SEMBILAN,P. 82,PORT DICKSON,S. 15,PASIR PANJANG,204.86,Computed using Tindak Malaysia's electoral boundary files
P. 82_S. 16,NEGRI SEMBILAN,P. 82,PORT DICKSON,S. 16,LINGGI,160.15,Computed using Tindak Malaysia's electoral boundary files
P. 83_S. 17,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,S. 17,KUALA KLAWANG,731.48,Computed using Tindak Malaysia's electoral boundary files
P. 83_S. 18,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,S. 18,PERTANG,619.01,Computed using Tindak Malaysia's electoral boundary files
P. 83_S. 19,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,S. 19,BAHAU,555.71,Computed using Tindak Malaysia's electoral boundary files
P. 83_S. 20,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,S. 20,ROMPIN,939.54,Computed using Tindak Malaysia's electoral boundary files
P. 83_S. 21,NEGRI SEMBILAN,P. 83,JELEBU - JEMPOL,S. 21,JEMPOL,137.09,Computed using Tindak Malaysia's electoral boundary files
P. 84_S. 22,NEGRI SEMBILAN,P. 84,SEREMBAN BARAT,S. 22,LENGGENG,296.73,Computed using Tindak Malaysia's electoral boundary files
P. 84_S. 23,NEGRI SEMBILAN,P. 84,SEREMBAN BARAT,S. 23,LABU,204.27,Computed using Tindak Malaysia's electoral boundary files
P. 84_S. 24,NEGRI SEMBILAN,P. 84,SEREMBAN BARAT,S. 24,BUKIT NANAS,71.00,Computed using Tindak Malaysia's electoral boundary files
P. 85_S. 1,MALACCA,P. 85,MALACCA TENGAH,S. 1,TANJONG KLING,38.78,Computed using Tindak Malaysia's electoral boundary files
P. 85_S. 2,MALACCA,P. 85,MALACCA TENGAH,S. 2,BUKIT RAMBAI,27.45,Computed using Tindak Malaysia's electoral boundary files
P. 85_S. 3,MALACCA,P. 85,MALACCA TENGAH,S. 3,BATU BERENDAM,85.50,Computed using Tindak Malaysia's electoral boundary files
P. 85_S. 4,MALACCA,P. 85,MALACCA TENGAH,S. 4,SEMABOK,60.81,Computed using Tindak Malaysia's electoral boundary files
P. 85_S. 5,MALACCA,P. 85,MALACCA TENGAH,S. 5,KANDANG,68.19,Computed using Tindak Malaysia's electoral boundary files
P. 86_S. 6,MALACCA,P. 86,BANDAR MALACCA,S. 6,KOTA SELATAN,0.94,Computed using Tindak Malaysia's electoral boundary files
P. 86_S. 7,MALACCA,P. 86,BANDAR MALACCA,S. 7,KOTA TENGAH,2.46,Computed using Tindak Malaysia's electoral boundary files
P. 86_S. 8,MALACCA,P. 86,BANDAR MALACCA,S. 8,KOTA BARAT,5.69,Computed using Tindak Malaysia's electoral boundary files
P. 86_S. 9,MALACCA,P. 86,BANDAR MALACCA,S. 9,KOTA UTARA,4.28,Computed using Tindak Malaysia's electoral boundary files
P. 86_S. 10,MALACCA,P. 86,BANDAR MALACCA,S. 10,KOTA TIMOR,3.20,Computed using Tindak Malaysia's electoral boundary files
P. 87_S. 11,MALACCA,P. 87,MALACCA UTARA,S. 11,SUNGEI BHARU,95.61,Computed using Tindak Malaysia's electoral boundary files
P. 87_S. 12,MALACCA,P. 87,MALACCA UTARA,S. 12,RAMUAN CHINA,117.39,Computed using Tindak Malaysia's electoral boundary files
P. 87_S. 13,MALACCA,P. 87,MALACCA UTARA,S. 13,MASJID TANAH,130.67,Computed using Tindak Malaysia's electoral boundary files
P. 87_S. 14,MALACCA,P. 87,MALACCA UTARA,S. 14,ALOR GAJAH,93.26,Computed using Tindak Malaysia's electoral boundary files
P. 87_S. 15,MALACCA,P. 87,MALACCA UTARA,S. 15,PULAU SEBANG,75.02,Computed using Tindak Malaysia's electoral boundary files
P. 88_S. 16,MALACCA,P. 88,MALACCA SELATAN,S. 16,BATANG MALAKA,292.33,Computed using Tindak Malaysia's electoral boundary files
P. 88_S. 17,MALACCA,P. 88,MALACCA SELATAN,S. 17,RIM,199.09,Computed using Tindak Malaysia's electoral boundary files
P. 88_S. 18,MALACCA,P. 88,MALACCA SELATAN,S. 18,JASIN,174.73,Computed using Tindak Malaysia's electoral boundary files
P. 88_S. 19,MALACCA,P. 88,MALACCA SELATAN,S. 19,SERKAM,76.08,Computed using Tindak Malaysia's electoral boundary files
P. 88_S. 20,MALACCA,P. 88,MALACCA SELATAN,S. 20,SUNGEI RAMBAI,104.57,Computed using Tindak Malaysia's electoral boundary files
P. 89_S. 1,JOHORE,P. 89,MUAR DALAM,S. 1,BUKIT SERAMPANG,929.06,Computed using Tindak Malaysia's electoral boundary files
P. 89_S. 2,JOHORE,P. 89,MUAR DALAM,S. 2,JORAK,255.51,Computed using Tindak Malaysia's electoral boundary files
P. 90_S. 3,JOHORE,P. 90,SEGAMAT SELATAN,S. 3,LABIS,736.19,Computed using Tindak Malaysia's electoral boundary files
P. 90_S. 4,JOHORE,P. 90,SEGAMAT SELATAN,S. 4,BEKOK,1715.29,Computed using Tindak Malaysia's electoral boundary files
P. 91_S. 5,JOHORE,P. 91,MUAR PANTAI,S. 5,BANDAR MAHARANI,60.26,Computed using Tindak Malaysia's electoral boundary files
P. 91_S. 6,JOHORE,P. 91,MUAR PANTAI,S. 6,PARIT BAKAR,118.71,Computed using Tindak Malaysia's electoral boundary files
P. 92_S. 7,JOHORE,P. 92,MUAR SELATAN,S. 7,PARIT JAWA,280.48,Computed using Tindak Malaysia's electoral boundary files
P. 92_S. 8,JOHORE,P. 92,MUAR SELATAN,S. 8,SIMPANG KIRI,515.53,Computed using Tindak Malaysia's electoral boundary files
P. 93_S. 9,JOHORE,P. 93,BATU PAHAT,S. 9,BROLEH,78.24,Computed using Tindak Malaysia's electoral boundary files
P. 93_S. 10,JOHORE,P. 93,BATU PAHAT,S. 10,BANDAR PENGGARAM,88.37,Computed using Tindak Malaysia's electoral boundary files
P. 94_S. 11,JOHORE,P. 94,BATU PAHAT DALAM,S. 11,TANJONG SEMBRONG,758.76,Computed using Tindak Malaysia's electoral boundary files
P. 94_S. 12,JOHORE,P. 94,BATU PAHAT DALAM,S. 12,AYER HITAM,286.12,Computed using Tindak Malaysia's electoral boundary files
P. 95_S. 13,JOHORE,P. 95,KLUANG UTARA,S. 13,GUNONG LAMBAK,767.31,Computed using Tindak Malaysia's electoral boundary files
P. 95_S. 14,JOHORE,P. 95,KLUANG UTARA,S. 14,SRI LALANG,297.09,Computed using Tindak Malaysia's electoral boundary files
P. 96_S. 15,JOHORE,P. 96,JOHORE TENGGARA,S. 15,KOTA TINGGI,1253.50,Computed using Tindak Malaysia's electoral boundary files
P. 96_S. 16,JOHORE,P. 96,JOHORE TENGGARA,S. 16,JOHORE LAMA,1352.04,Computed using Tindak Malaysia's electoral boundary files
P. 97_S. 17,JOHORE,P. 97,PONTIAN UTARA,S. 17,RENGIT,343.42,Computed using Tindak Malaysia's electoral boundary files
P. 97_S. 18,JOHORE,P. 97,PONTIAN UTARA,S. 18,BENUT,353.41,Computed using Tindak Malaysia's electoral boundary files
P. 98_S. 19,JOHORE,P. 98,PONTIAN SELATAN,S. 19,PONTIAN DALAM,389.30,Computed using Tindak Malaysia's electoral boundary files
P. 98_S. 20,JOHORE,P. 98,PONTIAN SELATAN,S. 20,PONTIAN KECHIL,153.99,Computed using Tindak Malaysia's electoral boundary files
P. 99_S. 21,JOHORE,P. 99,KLUANG SELATAN,S. 21,RENGAM,815.04,Computed using Tindak Malaysia's electoral boundary files
P. 99_S. 22,JOHORE,P. 99,KLUANG SELATAN,S. 22,SENAI - KULAI,403.91,Computed using Tindak Malaysia's electoral boundary files
P. 100_S. 23,JOHORE,P. 100,JOHORE BAHRU TIMOR,S. 23,PLENTONG,517.89,Computed using Tindak Malaysia's electoral boundary files
P. 100_S. 24,JOHORE,P. 100,JOHORE BAHRU TIMOR,S. 24,TANJONG PETRI,16.70,Computed using Tindak Malaysia's electoral boundary files
P. 101_S. 25,JOHORE,P. 101,JOHORE BAHRU BARAT,S. 25,GELANG PATAH,527.01,Computed using Tindak Malaysia's electoral boundary files
P. 101_S. 26,JOHORE,P. 101,JOHORE BAHRU BARAT,S. 26,TAMPOI,46.94,Computed using Tindak Malaysia's electoral boundary files
P. 102_S. 27,JOHORE,P. 102,JOHORE TIMOR,S. 27,ENDAU,1671.21,Computed using Tindak Malaysia's electoral boundary files
P. 102_S. 28,JOHORE,P. 102,JOHORE TIMOR,S. 28,MERSING,2642.85,Computed using Tindak Malaysia's electoral boundary files
P. 103_S. 29,JOHORE,P. 103,SEGAMAT UTARA,S. 29,BATU ANAM,960.91,Computed using Tindak Malaysia's electoral boundary files
P. 103_S. 30,JOHORE,P. 103,SEGAMAT UTARA,S. 30,BANDAR SEGAMAT,140.53,Computed using Tindak Malaysia's electoral boundary files
P. 104_S. 31,JOHORE,P. 104,MUAR UTARA,S. 31,TANGKAK,481.37,Computed using Tindak Malaysia's electoral boundary files
P. 104_S. 32,JOHORE,P. 104,MUAR UTARA,S. 32,SEROM,217.28,Computed using Tindak Malaysia's electoral boundary files
