UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.49_NO. 11,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 11,LUKUT,76.12,Computed using Tindak Malaysia's electoral boundary files
P.49_NO. 12,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 12,SI-RUSA,86.09,Computed using Tindak Malaysia's electoral boundary files
P.49_NO. 13,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 13,PASIR PANJANG,204.86,Computed using Tindak Malaysia's electoral boundary files
P.49_NO. 14,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 14,LINGGI,160.15,Computed using Tindak Malaysia's electoral boundary files
P.50_NO. 15,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 15,TERENTANG,153.71,Computed using Tindak Malaysia's electoral boundary files
P.50_NO. 16,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 16,KOTA,139.33,Computed using Tindak Malaysia's electoral boundary files
P.50_NO. 17,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 17,TAMPIN,344.13,Computed using Tindak Malaysia's electoral boundary files
P.50_NO. 18,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,NO. 18,GEMAS,491.33,Computed using Tindak Malaysia's electoral boundary files
P.51_NO. 19,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 19,LENGGENG,296.73,Computed using Tindak Malaysia's electoral boundary files
P.51_NO. 20,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 20,LABU,204.27,Computed using Tindak Malaysia's electoral boundary files
P.51_NO. 21,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,NO. 21,BUKIT NANAS,71,Computed using Tindak Malaysia's electoral boundary files
P.52_NO. 22,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 22,RANTAU,163.07,Computed using Tindak Malaysia's electoral boundary files
P.52_NO. 23,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 23,SUNGEI UJONG,207.44,Computed using Tindak Malaysia's electoral boundary files
P.52_NO. 24,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,NO. 24,RAHANG,7.49,Computed using Tindak Malaysia's electoral boundary files
P.53_NO. 1,PAHANG,P.53,LIPIS,NO. 1,JELAI,3996.21,Computed using Tindak Malaysia's electoral boundary files
P.53_NO. 2,PAHANG,P.53,LIPIS,NO. 2,KUALA LIPIS,279.47,Computed using Tindak Malaysia's electoral boundary files
P.53_NO. 3,PAHANG,P.53,LIPIS,NO. 3,TANJONG BESAR,902.82,Computed using Tindak Malaysia's electoral boundary files
P.53_NO. 4,PAHANG,P.53,LIPIS,NO. 4,JERANTUT,5532.16,Computed using Tindak Malaysia's electoral boundary files
P.54_NO. 5,PAHANG,P.54,RAUB,NO. 5,CAMERON HIGHLANDS,696.29,Computed using Tindak Malaysia's electoral boundary files
P.54_NO. 6,PAHANG,P.54,RAUB,NO. 6,DONG,3326.39,Computed using Tindak Malaysia's electoral boundary files
P.54_NO. 7,PAHANG,P.54,RAUB,NO. 7,BANDAR RAUB,10.11,Computed using Tindak Malaysia's electoral boundary files
P.54_NO. 8,PAHANG,P.54,RAUB,NO. 8,TRAS,984.8,Computed using Tindak Malaysia's electoral boundary files
P.55_NO. 9,PAHANG,P.55,BENTONG,NO. 9,SABAI,1132.12,Computed using Tindak Malaysia's electoral boundary files
P.55_NO. 10,PAHANG,P.55,BENTONG,NO. 10,BANDAR BENTONG,264.66,Computed using Tindak Malaysia's electoral boundary files
P.55_NO. 11,PAHANG,P.55,BENTONG,NO. 11,BENUS,427.61,Computed using Tindak Malaysia's electoral boundary files
P.55_NO. 12,PAHANG,P.55,BENTONG,NO. 12,MENTAKAB,841.37,Computed using Tindak Malaysia's electoral boundary files
P.56_NO. 13,PAHANG,P.56,TEMERLOH,NO. 13,CHENOR,2949.3,Computed using Tindak Malaysia's electoral boundary files
P.56_NO. 14,PAHANG,P.56,TEMERLOH,NO. 14,TRIANG,535.71,Computed using Tindak Malaysia's electoral boundary files
P.56_NO. 15,PAHANG,P.56,TEMERLOH,NO. 15,KUALA SEMANTAN,293.28,Computed using Tindak Malaysia's electoral boundary files
P.56_NO. 16,PAHANG,P.56,TEMERLOH,NO. 16,JENDERAK,923.51,Computed using Tindak Malaysia's electoral boundary files
P.56_NO. 17,PAHANG,P.56,TEMERLOH,NO. 17,SANGGANG,262.91,Computed using Tindak Malaysia's electoral boundary files
P.57_NO. 18,PAHANG,P.57,KUANTAN,NO. 18,TANAH PUTEH,11.4,Computed using Tindak Malaysia's electoral boundary files
P.57_NO. 19,PAHANG,P.57,KUANTAN,NO. 19,TELOK SISEK,49.87,Computed using Tindak Malaysia's electoral boundary files
P.57_NO. 20,PAHANG,P.57,KUANTAN,NO. 20,BESERAH,546.6,Computed using Tindak Malaysia's electoral boundary files
P.57_NO. 21,PAHANG,P.57,KUANTAN,NO. 21,ULU KUANTAN,2138.83,Computed using Tindak Malaysia's electoral boundary files
P.58_NO. 22,PAHANG,P.58,PEKAN,NO. 22,KUALA PAHANG,478.67,Computed using Tindak Malaysia's electoral boundary files
P.58_NO. 23,PAHANG,P.58,PEKAN,NO. 23,PAHANG TUA,2331.24,Computed using Tindak Malaysia's electoral boundary files
P.58_NO. 24,PAHANG,P.58,PEKAN,NO. 24,ROMPIN,7110.01,Computed using Tindak Malaysia's electoral boundary files
P.59_NO. 1,JOHORE,P.59,JOHORE TIMOR,NO. 1,ENDAU,1671.21,Computed using Tindak Malaysia's electoral boundary files
P.59_NO. 2,JOHORE,P.59,JOHORE TIMOR,NO. 2,MERSING,2642.85,Computed using Tindak Malaysia's electoral boundary files
P.60_NO. 3,JOHORE,P.60,JOHORE TENGGARA,NO. 3,KOTA TINGGI,1253.5,Computed using Tindak Malaysia's electoral boundary files
P.60_NO. 4,JOHORE,P.60,JOHORE TENGGARA,NO. 4,JOHORE LAMA,1352.04,Computed using Tindak Malaysia's electoral boundary files
P.61_NO. 5,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 5,PLENTONG,517.89,Computed using Tindak Malaysia's electoral boundary files
P.61_NO. 6,JOHORE,P.61,JOHORE BAHRU TIMOR,NO. 6,TANJONG PETRI,16.7,Computed using Tindak Malaysia's electoral boundary files
P.62_NO. 7,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 7,TAMPOI,46.94,Computed using Tindak Malaysia's electoral boundary files
P.62_NO. 8,JOHORE,P.62,JOHORE BAHRU BARAT,NO. 8,GELANG PATAH,527.01,Computed using Tindak Malaysia's electoral boundary files
P.63_NO. 9,JOHORE,P.63,PONTIAN SELATAN,NO. 9,PONTIAN DALAM,389.3,Computed using Tindak Malaysia's electoral boundary files
P.63_NO. 10,JOHORE,P.63,PONTIAN SELATAN,NO. 10,PONTIAN KECHIL,153.99,Computed using Tindak Malaysia's electoral boundary files
P.64_NO. 11,JOHORE,P.64,PONTIAN UTARA,NO. 11,BENUT,353.41,Computed using Tindak Malaysia's electoral boundary files
P.64_NO. 12,JOHORE,P.64,PONTIAN UTARA,NO. 12,RENGIT,343.42,Computed using Tindak Malaysia's electoral boundary files
P.65_NO. 13,JOHORE,P.65,KLUANG SELATAN,NO. 13,SENAI - KULAI,403.91,Computed using Tindak Malaysia's electoral boundary files
P.65_NO. 14,JOHORE,P.65,KLUANG SELATAN,NO. 14,RENGAM,815.04,Computed using Tindak Malaysia's electoral boundary files
P.66_NO. 15,JOHORE,P.66,KLUANG UTARA,NO. 15,GUNONG LAMBAK,767.31,Computed using Tindak Malaysia's electoral boundary files
P.66_NO. 16,JOHORE,P.66,KLUANG UTARA,NO. 16,SRI LALANG,297.09,Computed using Tindak Malaysia's electoral boundary files
P.67_NO. 17,JOHORE,P.67,BATU PAHAT,NO. 17,BANDAR PENGGARAM,88.37,Computed using Tindak Malaysia's electoral boundary files
P.67_NO. 18,JOHORE,P.67,BATU PAHAT,NO. 18,BROLEH,78.24,Computed using Tindak Malaysia's electoral boundary files
P.68_NO. 19,JOHORE,P.68,BATU PAHAT DALAM,NO. 19,AYER HITAM,286.12,Computed using Tindak Malaysia's electoral boundary files
P.68_NO. 20,JOHORE,P.68,BATU PAHAT DALAM,NO. 20,TANJONG SEMBRONG,758.76,Computed using Tindak Malaysia's electoral boundary files
P.69_NO. 21,JOHORE,P.69,MUAR SELATAN,NO. 21,SIMPANG KIRI,515.53,Computed using Tindak Malaysia's electoral boundary files
P.69_NO. 22,JOHORE,P.69,MUAR SELATAN,NO. 22,PARIT JAWA,280.48,Computed using Tindak Malaysia's electoral boundary files
P.70_NO. 23,JOHORE,P.70,MUAR PANTAI,NO. 23,PARIT BAKAR,118.71,Computed using Tindak Malaysia's electoral boundary files
P.70_NO. 24,JOHORE,P.70,MUAR PANTAI,NO. 24,BANDAR MAHARANI,60.26,Computed using Tindak Malaysia's electoral boundary files
P.71_NO. 25,JOHORE,P.71,MUAR UTARA,NO. 25,SEROM,217.28,Computed using Tindak Malaysia's electoral boundary files
P.71_NO. 26,JOHORE,P.71,MUAR UTARA,NO. 26,TANGKAK,481.37,Computed using Tindak Malaysia's electoral boundary files
P.72_NO. 27,JOHORE,P.72,MUAR DALAM,NO. 27,JORAK,255.51,Computed using Tindak Malaysia's electoral boundary files
P.72_NO. 28,JOHORE,P.72,MUAR DALAM,NO. 28,BUKIT SERAMPANG,929.06,Computed using Tindak Malaysia's electoral boundary files
P.73_NO. 29,JOHORE,P.73,SEGAMAT UTARA,NO. 29,BANDAR SEGAMAT,140.53,Computed using Tindak Malaysia's electoral boundary files
P.73_NO. 30,JOHORE,P.73,SEGAMAT UTARA,NO. 30,BATU ANAM,960.91,Computed using Tindak Malaysia's electoral boundary files
P.74_NO. 31,JOHORE,P.74,SEGAMAT SELATAN,NO. 31,BEKOK,1715.29,Computed using Tindak Malaysia's electoral boundary files
