UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.22_NO. 19,PERAK,P.22,KUALA KANGSAR,NO. 19,SENGGANG,ALLIANCE - UMNO,SHAARI BIN PIAI,MALE,,
P.22_NO. 20,PERAK,P.22,KUALA KANGSAR,NO. 20,PADANG RENGAS,ALLIANCE - UMNO,ABAS BIN MOHD. ADAM,MALE,,
P.23_NO. 21,PERAK,P.23,PARIT,NO. 21,BLANJA,ALLIANCE - UMNO,MOHD. HARUN BIN KULOP SEMAN,MALE,,
P.23_NO. 22,PERAK,P.23,PARIT,NO. 22,KAMPONG GAJAH,ALLIANCE - UMNO,ISMAIL BIN HAJI KARIM,MALE,,
P.24_NO. 23,PERAK,P.24,HILIR PERAK,NO. 23,SUNGEI MANIK,ALLIANCE - UMNO,YAHYA SHUBBAN BIN HAJI HARUN,MALE,37,
P.24_NO. 24,PERAK,P.24,HILIR PERAK,NO. 24,BANDAR,ALLIANCE - UMNO,HAJI AHMAD RAZALI BIN HJ. MOHAMED,MALE,41,
P.25_NO. 25,PERAK,P.25,BAGAN DATOH,NO. 25,RUNGKUP,ALLIANCE - UMNO,LOPE HASHIM BIN KETONG,MALE,51,
P.25_NO. 26,PERAK,P.25,BAGAN DATOH,NO. 26,HUTAN MELINTANG,ALLIANCE - UMNO,SULAIMAN BIN BULOH,MALE,37,
P.26_NO. 27,PERAK,P.26,TELOK ANSON,NO. 27,BATAK RABIT,ALLIANCE - UMNO,SOM BINTI ABDULLAH,FEMALE,34,
P.26_NO. 28,PERAK,P.26,TELOK ANSON,NO. 28,PASIR BEDAMAR,ALLIANCE - MCA,WAH KENG JOOI,MALE,57,
P.27_NO. 29,PERAK,P.27,IPOH,NO. 29,PEKAN LAMA,PPP,TOH SEANG ENG,MALE,48,
P.27_NO. 30,PERAK,P.27,IPOH,NO. 30,PEKAN BHARU,PPP,DHARMA RAJA SEENIVASAGAM,MALE,35,
P.28_NO. 31,PERAK,P.28,MENGLEMBU,NO. 31,PASIR PUTEH,PPP,MOHD. FAJAR ALI BIN HASSAN,MALE,27,
P.28_NO. 32,PERAK,P.28,MENGLEMBU,NO. 32,KUALA PARI,PPP,SRI PADHMARAJA SEENIVASAGAM,MALE,41,
P.29_NO. 33,PERAK,P.29,SUNGEI SIPUT,NO. 33,KARAI,ALLIANCE - UMNO,MOHAMED ALI BIN HAJI MOHAMED ZAIN,MALE,39,
