UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.39,SELANGOR,P.39,SABAK BERNAM,ALLIANCE - UMNO,,18892,3781,65.98,12465,240,12225,UMNO,SYED HASHIM BIN SYED AJAM,MALE,55,8003,,,,,,,,PMIP,HAJI ABDUL HAKIM BIN HAJI ABDULLAH,MALE,,4222,,,,,,,,,,,,,,,,,,,,,,,,,
P.40,SELANGOR,P.40,KUALA SELANGOR,ALLIANCE - UMNO,,19026,1981,76.65,14584,163,14421,UMNO,MOHAMED DAHARI BIN HAJI MOHAMED ALI,MALE,37,6197,,,,,,,,PMIP,ABDULLAH BIN MAT JUNAN,MALE,40,4216,,,,,,,,M.P.,N. MANICKAM,MALE,,4008,,,,,,,,,,,,,
P.41,SELANGOR,P.41,LANGAT,ALLIANCE - UMNO,,15890,1792,77.08,12248,166,12082,UMNO,HAJI ZAKARIA BIN HAJI MOHD. TAIB,MALE,,6937,,PRM,KOH PAK NGEE @ CHIK CHIOW,MALE,,5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.42,SELANGOR,P.42,SEPANG,ALLIANCE - MCA,,13345,1537,80.87,10792,120,10672,MCA,LEE SIOK YEW,MALE,42,4992,,LPM,LIM TUAN SIONG,MALE,,3455,,,,,,,,PPP,K.V. NADARAJAH,MALE,46,2225,,,,,,,,,,,,,,,,,,,
P.43,SELANGOR,P.43,KLANG,ALLIANCE - MIC,,19670,2141,75.52,14854,207,14647,MIC,V. MANICKAVASAGAM,MALE,33,8394,,LPM,S.S NAYAGAM,MALE,44,6253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.44,SELANGOR,P.44,KUALA LANGAT,ALLIANCE - UMNO,,17169,5193,81.66,14021,230,13791,UMNO,ABDUL AZIZ BIN ISHAK,MALE,46,9492,,,,,,,,PMIP,SYED IBRAHIM BIN SYED SALIM,MALE,50,4299,,,,,,,,,,,,,,,,,,,,,,,,,
P.45,SELANGOR,P.45,KAPAR,ALLIANCE - UMNO,,15152,2127,76.78,11634,137,11497,UMNO,HAMZAH BIN ALANG,MALE,45,5335,,,,,,,,PMIP,IBRAHIM BIN HAJI NORDIN,MALE,,2954,,PPP,RAMAN MADHAVAN,MALE,,3208,,,,,,,,,,,,,,,,,,,
P.46,SELANGOR,P.46,DAMANSARA,SF - PRM,,19722,3373,75.4,14871,192,14679,MCA,LEE ENG TEH,MALE,,5653,,PRM,KAHER KARAM SINGH,MALE,22,9026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.47,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,ALLIANCE - UMNO,,20910,7295,73.74,15418,183,15235,UMNO,MOHAMED UJANG,MALE,,11265,,,,,,,,PMIP,AHMAD BIN HAJI YAACOB,MALE,,3970,,,,,,,,,,,,,,,,,,,,,,,,,
P.48,NEGRI SEMBILAN,P.48,KUALA PILAH,ALLIANCE - UMNO,,22673,5566,76.26,17290,232,17058,UMNO,BAHAMAN BIN SAMSUDIN,MALE,,11312,,,,,,,,PMIP,ISMAIL BIN CHIK,MALE,40,5746,,,,,,,,,,,,,,,,,,,,,,,,,
