UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 35,TERENGGANU,P. 35,KUALA NERUS,BN - UMNO,,41868,2218,82.62,34592,233,1291,33068,UMNO,ABDUL RAHIN BIN MOHD. SAID,MALE,36,17643,,,,,,,,,,,,,,S46,IBRAHIM BIN HASAN @ IBRAHIM AZMI,MALE,,15425,,,,,,,,,,,,,,,,,,,,,,,,,
P. 36,TERENGGANU,P. 36,KUALA TERENGGANU,BN - UMNO,,62583,4849,76.92,48141,232,1518,46391,UMNO,ABU BAKAR BIN DAUD,MALE,59,25620,,,,,,,,,,,,,,S46,ABDUL MANAN BIN OTHMAN,MALE,,20771,,,,,,,,,,,,,,,,,,,,,,,,,
P. 37,TERENGGANU,P. 37,MARANG,APU - PAS,,54119,882,81.85,44295,83,1204,43008,UMNO,ADBUL RAHMAN BIN BAKAR,MALE,,21063,,PAS,ABDUL HADI BIN HAJI AWANG,MALE,48,21945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 38,TERENGGANU,P. 38,HULU TERENGGANU,BN - UMNO,,37079,2759,84.5,31333,47,1177,30109,UMNO,HAJI MUSTAFA BIN MUDA,MALE,,16434,,PAS,HARUN BIN TAIB,MALE,,13675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 39,TERENGGANU,P. 39,DUNGUN,BN - UMNO,,42087,1122,80.12,33720,77,757,32886,UMNO,MOKATAR RUDIN BIN WAN YUSOF A.K.A. HAJI MOKHTARUDDIN BIN WAN YUSOF,MALE,45,17004,,PAS,MUSTAFA @ HASSAN BIN ALI,MALE,50,15882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 40,TERENGGANU,P. 40,KEMAMAN,BN - UMNO,,47240,7671,79.98,37782,88,1367,36327,UMNO,RAMLI BIN TAIB,MALE,35,21999,,,,,,,,,,,,,,S46,ALIAS BIN ABDUL RAHMAN,MALE,,14328,,,,,,,,,,,,,,,,,,,,,,,,,
P. 41,PULAU PINANG,P. 41,KEPALA BATAS,BN - UMNO,,36105,17834,78.47,28332,31,1093,27208,UMNO,ABDULLAH BIN HAJI AHMAD,MALE,56,22521,,,,,,,,,,,,,,S46,NASER BIN MOHD. RAZI,MALE,,4687,,,,,,,,,,,,,,,,,,,,,,,,,
P. 42,PULAU PINANG,P. 42,TASEK GELUGOR,BN - UMNO,,37055,12651,77.02,28538,116,951,27471,UMNO,IBRAHIM BIN SAAD,MALE,49,20061,,PAS,MOHD SALLEH BIN MAN,MALE,,7410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 43,PULAU PINANG,P. 43,BAGAN,DAP,,70718,118,76.89,54378,142,1306,52930,MCA,YEOH KHOON CHOOI,MALE,,26406,,,,,,,,,,,,,,,,,,,,DAP,PATTO A/L PERUMAL,MALE,49,26524,,,,,,,,,,,,,,,,,,,
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,BN - UMNO,,47743,23515,78.3,37385,50,889,36446,UMNO,ANWAR B. IBRAHIM,MALE,48,27945,,PAS,MAZANI BIN ABDULLAH,MALE,,4071,LOST DEPOSIT,,,,,,,,,,,,,DAP,HJ. A. RAHMAN BIN MANAP,MALE,,4430,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
