UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 105,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 105,WANGSA MAJU,BN - UMNO,KAMAL BIN MAT SALIH,MALE,49,
P. 106,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 106,SEGAMBUT,BN - GERAKAN,TAN KEE KWONG,MALE,48,
P. 107,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 107,TITIWANGSA,BN - UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,
P. 108,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 108,BUKIT BINTANG,DAP,WEE CHOO KEONG,MALE,42,
P. 109,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 109,LEMBAH PANTAI,BN - UMNO,SHAHRIZAT @ SHAHRIZAT BTE ABDUL JALIL,FEMALE,42,
P. 110,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 110,SEPUTEH,DAP,LIEW AH KIM,MALE,57,
P. 111,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 111,CHERAS,DAP,TAN KOK WAI,MALE,38,
P. 112,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 112,BANDAR TUN RAZAK,BN - MCA,TAN CHAI HO,MALE,49,
P. 113,NEGERI SEMBILAN,P. 113,JELEBU,BN - UMNO,YUNUS BIN RAHMAT,MALE,40,
P. 114,NEGERI SEMBILAN,P. 114,JEMPOL,BN - UMNO,MOHD KHALID BIN MOHD YUNUS,MALE,52,
P. 115,NEGERI SEMBILAN,P. 115,TAMPIN,BN - UMNO,MOHD NOH BIN RAJAB,MALE,48,
P. 116,NEGERI SEMBILAN,P. 116,KUALA PILAH,BN - UMNO,ABU ZAHAR BIN DATO' NIKA UJANG,MALE,51,
P. 117,NEGERI SEMBILAN,P. 117,SEREMBAN,BN - MCA,HON CHOON KIM,MALE,47,
P. 118,NEGERI SEMBILAN,P. 118,RASAH,BN - MCA,WONG SEE WAH,MALE,49,
P. 119,NEGERI SEMBILAN,P. 119,TELOK KEMANG,BN - MIC,KRISHNAN A/L LETCHUMANAN,MALE,47,
P. 120,MELAKA,P. 120,ALOR GAJAH,BN - UMNO,ABU SEMAN BIN HAJI YUSOP,MALE,51,
P. 121,MELAKA,P. 121,SELANDAR,BN - MCA,FONG CHAN ONN,MALE,51,
P. 122,MELAKA,P. 122,BATU BERENDAM,BN - UMNO,MOHD ALI BIN MOHD RUSTAM,MALE,46,
P. 123,MELAKA,P. 123,KOTA MELAKA,DAP,LIM GUAN ENG,MALE,35,
P. 124,MELAKA,P. 124,JASIN,BN - UMNO,ABDUL GHAFAR BIN BABA,MALE,70,
P. 125,JOHOR,P. 125,SEGAMAT,BN - MIC,SUBRAMANIAM A/L SINNIAH,MALE,51,
P. 126,JOHOR,P. 126,LEDANG,BN - UMNO,HASHIM BIN ISMAIL,MALE,50,
P. 127,JOHOR,P. 127,PAGOH,BN - UMNO,MAHIADDIN BIN MD. YASSIN,MALE,48,
P. 128,JOHOR,P. 128,LABIS,BN - MCA,DATO' SERI DR. LIM LIONG SEEK @ LING LIONG SIK,MALE,52,
P. 129,JOHOR,P. 129,MERSING,BN - UMNO,ZAINAL ABIDIN BIN OSMAN,MALE,46,
P. 130,JOHOR,P. 130,KLUANG,BN - MCA,HOO SEONG CHANG,MALE,38,
P. 131,JOHOR,P. 131,PARIT SULONG,BN - UMNO,RUHANIE AHMAD,MALE,48,
P. 132,JOHOR,P. 132,BAKRI,BN - MCA,CHUA JUI MENG,MALE,52,
P. 133,JOHOR,P. 133,MUAR,BN - UMNO,ABDUL AZIZ B MOHD. YASSIN,MALE,63,
P. 134,JOHOR,P. 134,SRI GADING,BN - UMNO,HAMZAH BIN RAMLI,MALE,48,
P. 135,JOHOR,P. 135,BATU PAHAT,BN - UMNO,MANSOR BIN MASIKON,MALE,51,
P. 136,JOHOR,P. 136,TENGGARA,BN - UMNO,HISHAMMUDDIN BIN DATUK HUSSEIN,MALE,34,
P. 137,JOHOR,P. 137,SUNGAI BENUT,BN - UMNO,ABD HAMID BIN ABD. RAHMAN,MALE,42,
P. 138,JOHOR,P. 138,SENAI,BN - MCA,LIM SI CHENG,MALE,45,
P. 139,JOHOR,P. 139,KOTA TINGGI,BN - UMNO,DATO' SYED HAMID BIN S. JAAFAR,MALE,51,
P. 140,JOHOR,P. 140,TEBRAU,BN - UMNO,ZAINABON @ ZAINAB BINTI ABU BAKAR,FEMALE,54,
P. 141,JOHOR,P. 141,JOHOR BAHRU,BN - UMNO,MOHAMED KHALED BIN NORDIN,MALE,37,
P. 142,JOHOR,P. 142,PULAI,BN - UMNO,MOHAMED BIN RAHMAT,MALE,57,
P. 143,JOHOR,P. 143,GELANG PATAH,BN - MCA,TEU SI @ CHANG SEE TAN,MALE,47,
P. 144,JOHOR,P. 144,PONTIAN,BN - MCA,ONG KA TING,MALE,39,
P. 145,WILAYAH PERSEKUTUAN LABUAN,P. 145,LABUAN,BN - UMNO,ABDOL MULOK BIN AWANG DAMIT,MALE,42,
P. 146,SABAH,P. 146,MARUDU,GR - PBS,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,45,
P. 147,SABAH,P. 147,BANDAU,GR - PBS,JOHNITY @ MAXIMUS BIN ONGKILI,MALE,42,
P. 148,SABAH,P. 148,KOTA BELUD,BN - UMNO,MD SALLEH MD SAID,MALE,38,
P. 149,SABAH,P. 149,TUARAN,GR - PBS,YUNOF B. MERINGKING,MALE,,
P. 150,SABAH,P. 150,GAYA,BN - SAPP,YONG CHIEW LIP,MALE,34,
P. 151,SABAH,P. 151,TANJONG ARU,GR - PBS,YEE MOH CHAI,MALE,40,
P. 152,SABAH,P. 152,PENAMPANG,GR - PBS,PAULIS @ FRANCIS BIN NOINTIEN,MALE,38,
P. 153,SABAH,P. 153,PAPAR,BN - UMNO,OSU HAJI SUKAM,MALE,46,
P. 154,SABAH,P. 154,BEAUFORT,BN - UMNO,NURNIKMAN BIN ABDULLAH,MALE,42,
P. 155,SABAH,P. 155,SIPITANG,BN - UMNO,YUSOF B. YACOB @ JOSREE,MALE,39,
P. 156,SABAH,P. 156,KINABALU,GR - PBS,HENRYNUS AMIN,MALE,36,
P. 157,SABAH,P. 157,KENINGAU,GR - PBS,JOSEPH PAIRIN KITINGAN,MALE,55,
P. 158,SABAH,P. 158,TENOM,GR - PBS,RADIN MALLEH,MALE,45,
P. 159,SABAH,P. 159,BELURAN,BN - UMNO,AHMAD @ ASMAT BIN NANGKA @ NUNGKA,MALE,41,
P. 160,SABAH,P. 160,LIBARAN,BN - UMNO,AKBARKHAN BIN ABDULRAHMAN,MALE,39,
P. 161,SABAH,P. 161,SANDAKAN,BN - LDP,LAU NGAN SIEW,MALE,52,
P. 162,SABAH,P. 162,KINABATANGAN,BN - UMNO,JUHAR BIN MAHIRUDDIN,MALE,42,
P. 163,SABAH,P. 163,SILAM,BN - UMNO,RAILEY BIN HJ. JEFFREY,MALE,50,
P. 164,SABAH,P. 164,SEMPORNA,BN - UMNO,MOHD. SHAFIE HJ. APDAL,MALE,38,
P. 165,SABAH,P. 165,TAWAU,BN - SAPP,CHUA SOON BUI,FEMALE,40,
P. 166,SARAWAK,P. 166,MAS GADING,BN - SNAP,PATAU ANAK RUBIS,MALE,49,
P. 167,SARAWAK,P. 167,SANTUBONG,BN - PBB,ROHANI BINTI ABDUL KARIM,FEMALE,40,
